식별자	일자	언론사	제목	본문
01200201.20180511204606001	20180511	경인일보	[사설]도를 지나친 더불어민주당 공천잡음	"최근 더불어민주당 경기지역 지방선거 후보 공천 과정의 불협화음을 보면 유리한 선거판세에 기댄 오만이 지나치다는 느낌을 지울수 없다. 출발은 좋았다. 지역별로 신선한 공천으로 세대교체가 이루어지고 있다는 호응이 주를 이뤘다. 청와대와 중앙당 실세를 들먹이며 공천을 장담하던 전직 국회의원의 낙마를 보고 기대도 컸다. 스스로 개혁공천이라고 자부도 했다.

그.."
01600501.20180308205048002	20180308	무등일보	"사설(상) 더불어민주당, 강력한 성범죄 대책은 당연하다"	"안희정 충남지사가 수행비서를 상대로 저지른 성폭행 사실이 온 나라를 뒤 흔들었다. 안지사가 소속한 더불어민주당 등 정치권에는 초강력 후폭풍이 몰아닥쳤다. 이른바 '안희정發 충격파'가 6월 지방선거에 최대 변수로 작용하는 것 아니냐는 우려도 나온다.
안 지사의 행위가 가증스럽고 충격적인 것은 그가 '깨끗한 정치인'으로 분류된데다 ""'# 미투 운동'은 '인.."
01200101.20170414222048002	20170414	경기일보	"[사설] 더불어민주당, 재 보궐 결과 심각히 여겨야"	"4ㆍ12 재ㆍ보궐선거 결과가 의외다. 포천시장 선거의 당선자는 김종천 후보다. 한국당 소속이다. 도의원 선거에서는 용인 기흥에서 김종철 후보, 포천에서 김성남 후보가 이겼다. 역시 한국당 소속 후보들이다. 민주당이 이긴 곳은 하남시장(오수봉 후보) 1곳이다. 타지역 결과도 비슷하다. 경북 상주ㆍ군위ㆍ의성ㆍ청송 선거에서는 한국당 김재원 후보가 이겼다. 김.."
02100311.20160620191828454	20160620	서울경제	[사설] 더불어민주당이 국민연금 수익률도 결정하나	"더불어민주당이 기어코 국민연금기금의 공공투자 확대를 밀어붙일 모양새다. 김종인 더민주 비상대책위원회 대표는 20일 “국민연금이 공공임대주택에 투자할 경우 5%의 수익률을 올리면서 저출산 문제까지 해결되니 일거양득”이라며 국민연금을 최대한 동원하는 방안을 추진하겠다고 말했다. 
 
 국민연금의 공공투자는 일견 그럴듯해 보이지만 수익률 5% 보장이 원천적으.."
01500601.20160526202649001	20160526	매일신문	[사설] 국민연금이 더불어민주당 ‘쌈짓돈’인가	" 더불어민주당이 국민연금을 임대주택 건설 등 공공사업에 전용할 수 있도록 국민연금법 등 관련 법률을 개정하기로 했다. 국민연금 기금에서 매년 10조원씩 10년간 100조원을 정부가 발행하는 ‘국민안심채권’에 투자해 그 재원으로 장기 공공임대주택, 국공립 보육시설 등을 확충한다는 것이다. 이는 지난 4`13 총선 때 내걸었던 경제민주화 1호 공약이다. 이.."
01100201.20160405174056002	20160405	국민일보	[사설] 낯 뜨거운 더불어민주당의 ‘문재인 호남行’ 논란	문재인 전 더불어민주당 대표의 4 13총선 호남 지원 유세와 관련해 더민주에서 볼썽사나운 장면이 펼쳐지고 있다. 정장선 선거대책본부장은 4일 라디오에 나와 “문 전 대표가 호남에 가는 것은 본인이 판단할 문제지만 당과 협의가 있어야 한다. 현 시점에서 적절한가를 생각하고 있다”고 밝혔다. 한마디로 가지 말라는 얘기다. 김종인 대표도 3일 “(지원 유세를..
01101001.20160404215733888	20160404	한겨레	"[사설 속으로] 한겨레 중앙일보, ‘더불어민주당 비례대표 공천 파문’ 사설 비교해보기"	"와 가 함께 구성한 지면으로 두 언론사의 사설을 통해 중3~고2 학생 독자들의 사고력 확장에 도움이 되도록 비교분석하였습니다.





[한겨레 사설] ‘비례대표 파동’의 상처 큰 더민주 

 

 더불어민주당의 비례대표 공천 파문이 23일 가까스로 봉합됐다. 대표직 사퇴의 배수진을 치고 맞섰던 김종인 대표가 대표직 유지 의사를 밝힘으로써 당은 일단 위.."
01500601.20160302220004001	20160302	매일신문	"[사설] 더불어민주당, 무엇을 위한 필리버스터였나"	" 테러방지법 저지를 위해 야당이 시작한 필리버스터(무제한 토론)가 마지막 주자인 이종걸 더불어민주당 원내대표를 끝으로 종료됐다. 무려 192시간 만이다. 이는 세계 최고 기록이다. 의원들 개인별 기록도 최장의 연속이었다. 그러나 전혀 자랑스럽지 않은 ‘기록’들이다. 필리버스터의 타깃 설정이 근본적으로 잘못됐기 때문이다.
더불어민주당은 국회 본회의에 상정.."
01500601.20160225205032001	20160225	매일신문	"[사설] 홍의락 컷오프, 더불어민주당의 대구경북 포기 선언"	 대구경북의 유일한 야당 현역 국회의원인 더불어민주당 홍의락 의원이 ‘컷오프’(공천 심사 배제) 대상에 포함돼 더민주 후보로는 4월 총선에 출마하지 못하게 됐다. 홍 의원은 즉시 탈당을 선언하고 무소속 출마를 검토 중이다. 수성갑의 김부겸 후보도 당이 결정을 재고하지 않을 경우 “중대 결심을 하지 않을 수 없다”며 탈당 가능성까지 시사했다. 김 의원이 ..
01500801.20160130084612565	20160130	영남일보	[사설] 더불어민주당 제식구 감싸기 구태 재연하나	국회의원들의 제 식구 감싸기가 가관이다. 숫제 국민의 눈은 의식하지 않은 채 끼리끼리 온정의 손길을 뻗어 진한 동료애를 다지는 모습에 진저리를 내지 않을 수 없다. 더불어민주당 의원 수십 명이 윤리심판원의 중징계로 당 공천에서 사실상 배제된 노영민(충북 청주 흥덕을) 신기남 의원(서울 강서갑)을 구제하기 위한 탄원서에 서명을 하다 여론의 거센 반발을 샀..
01100101.20160119210333953	20160119	경향신문	[사설] 문재인 대표 사퇴와 더불어민주당의 과제	문재인 더불어민주당 대표가 사퇴 의사를 표명했다. 문 대표는 신년 기자회견에서 “(야권) 통합의 물꼬를 틔우기 위해 제가 비켜서는 것이 필요하다. 선대위가 안정되는 대로 빠른 시간 안에 대표직에서 물러나겠다”고 말했다. 그는 백의종군 각오를 밝히며 ‘김종인 선대위’ 중심의 단결을 촉구했다. 합법적 절차에 의해 선출된 지도자의 중도하차는 원칙적으로 바람직..
01100101.20160114204442723	20160114	경향신문	[사설]김종인 영입과 더불어민주당의 미래	"박근혜 대통령의 ‘경제 멘토’였던 김종인 전 의원이 더불어민주당 선거대책위원장으로 영입됐다. 김 전 의원은 2012년 대선 때 새누리당 국민행복추진위원장을 맡아 경제민주화 공약을 성안한 인물이다. 문재인 대표는 김 전 의원을 ‘경제민주화의 상징’으로 소개하며 “이번 총선은 박근혜 정부의 불평등에 맞서는 심판(의 장)이자, 낡은 경제세력과 새 경제세력의 .."
01500401.20151228235421913	20151229	국제신문	[사설] '더불어민주당' 당명 개정에 걸맞게 거듭나길	제1 야당인 새정치민주연합이 '더불어민주당'으로 당명을 교체했다. 약칭은 '더민주당'으로 정했다. 지난해 김한길 당시 대표의 민주당과 안철수 의원의 새정치연합이 합당해 탄생한 '새정치민주연합'이라는 당명은 1년9개월 만에 역사 속으로 사라졌다. 새정치연합의 대주주인 안 의원이 탈당한 마당이니 새정치민주연합의 당명 개정은 불가피한 수순이다. 새정치연합은 ..
01500701.20151228230402320	20151228	부산일보	"[사설] '더불어민주당', 국민 신뢰와 기대 이끌어내려면"	"새정치민주연합이 '더불어민주당'을 새 당명으로 정했다. 무엇보다 안철수 의원의 흔적을 지우기 위한 고육지책으로 해석된다. 1년 9개월 전 김한길 당시 대표의 민주당과 안철수 의원의 새정치연합이 합당하는 과정에서 사라진 '민주당'이란 명칭을 회복해 제1 야당의 면모를 쇄신하겠다는 결의로도 읽힌다. 김한길 전 공동대표, 박지원 전 원내대표를 비롯한 호남 계.."
