식별자	일자	언론사	제목	본문
02100501.20190522165854001	20190522	파이낸셜뉴스	"[fn사설] 퇴직연금 손질하려는 민주당, 기대가 크다"	"자본시장 특위가 앞장.. 당 차원에서 밀어주길 

 

 

 
 
 집권 더불어민주당이 퇴직연금을 손질하기로 했다. 최운열 자본시장특위 위원장은 20일 ""연내 디폴트 옵션과 기금형 퇴직연금제 도입을 위한 입법에 나서겠다""고 말했다. 지난해 퇴직연금 수익률은 1%를 간신히 넘겼다. 은행 정기예금 이자보다 낮다. 190조원(2018년 말 기준)에 이르는 .."
01200101.20190520210510004	20190520	경기일보	"[사설] 2차 공공기관 이전, 수도권 피해 뻔한데 / '총선 공약' 검토한다는 민주당의 배짱"	민주당 윤호중 사무총장이 2차 공공기관 지방 이전 공약화를 언급했다. 13일 있었던 한겨레신문과의 대담에서다. 그는 “내년 총선 때 수도권 소재 공공기관 122곳을 지방으로 이전하는 공약을 내놓을 것을 당 내부에서 검토하고 있다”고 밝혔다. 이유도 설명했다. “정부가 좀 더 힘 있게 2차 공공기관 이전을 추진하려면 총선에서 공약으로 내놓아 국민적 지지를..
01101101.20190509050615001	20190509	한국일보	[사설] 친문 색채 엷은 50대 민주당 새 원내대표에 거는 ‘정치 복원’ 기대	더불어민주당의 새 원내대표 선출로 여야 극한 대치 및 국회 파행이 출구를 찾을지 주목된다. 민주당에 이어 민주평화당도 9일 원내대표를 교체하고 내분에 휩싸인 바른미래당은 15일 김관영 원내대표 후임을 선출한다. 정의당은 7월 초 지도부 전면 개편을 예고했다. 선거법 개혁안 등의 패스트트랙 강행을 주도한 여야 4당 원내사령탑이 모두 바뀌는 것을 계기로 여..
01100611.20190509034339002	20190509	서울신문	"[사설] 민주당 이인영 새 원내대표, 국회 정상화 해법 찾아라"	3선의 이인영 의원이 더불어민주당 새 원내대표로 선출됐다. 이 신임 원내대표는 어제 결선투표에서 125표 중 76표를 얻어 여당의 새 원내사령탑이 됐다. 이 신임 원내대표는 20대 국회 마지막 원내사령탑으로 집권 중반기로 접어드는 문재인 정부의 성공을 원활히 뒷받침하고 내년 총선 승리를 이끄는 중책을 맡았다. 선거제 개혁법안의 패스트트랙(신속처리안건) ..
01100101.20190508204835001	20190508	경향신문	"[사설]민주당 이인영 새 원내대표, 국회 정상화에 매진을"	"더불어민주당 새 원내대표에 이인영 의원이 선출됐다. ‘86그룹’ 대표주자로 3선 의원인 그는 8일 의원총회에서 결선투표 끝에 125표 중 76표를 얻어 20대 국회 마지막 여당 원내사령탑에 올랐다. 당초 친문계 핵심인 김태년 의원과 팽팽한 승부를 벌일 것이란 예상을 깨고 1차투표에서 54표를 얻어 김 의원(37표)을 크게 앞섰고, 결선에서도 김 의원을 .."
01101001.20190508194847001	20190508	한겨레	[사설] 이인영 새 민주당 원내대표에 거는 기대	"더불어민주당 새 원내대표로 8일 이인영 의원이 선출됐다. 민주당 국회의원들은 전대협 1기 의장을 지내고 ‘86세대 리더’라는 상징성을 갖췄지만 당 대표 경선에선 좌절했던 이 의원을 집권여당의 원내사령탑으로 선택했다. ‘혁신과 통합’을 기치로 당내 주류와 비주류를 아우르는 원내대표가 되겠다는 그에게 예상 밖의 몰표가 쏠린 건, ‘촛불 정부’의 개혁을 추동.."
01101101.20190507050425001	20190507	한국일보	"[사설] 여야, 민주당 원내사령탑 교체를 정치 복원의 시발점 삼아라"	여야 4당의 패스트트랙 강행으로 빚어진 ‘얼음 정국’이 출구를 못찾고 마냥 표류해 걱정이다. 지난달 초 문을 연 4월 국회는 이미선 헌법재판관 등의 임명 강행과 패스트트랙을 둘러싼 여야 육탄충돌 후유증으로 단 1건의 법안도 처리 못한 채 100여건의 고소고발만 주고받는 최악의 기록을 남기게 됐다. 더 큰 문제는 추경예산안 등 처리가 시급한 민생ㆍ노동 현..
01100101.20190503204311002	20190503	경향신문	"[사설]현역 기득권 줄인 민주당 공천룰, ‘물갈이 혁명’으로"	"더불어민주당이 3일 최고위원회의를 열어 내년 총선에서 현역 의원의 기득권을 줄이고 여성과 청년, 신인 등의 참여를 확대하는 내용의 공천 규칙을 의결했다. 새 공천 규칙은 현역 의원이 출마하는 경우 전원 경선을 거치도록 하는 한편, 특별한 사정이 없으면 전략 공천은 하지 않도록 했다. 또 여성의 정치참여 기회를 확대하기 위해 공천심사 때 여성 지원자에게 .."
01100611.20190503150314001	20190503	서울신문	"[사설] 민주당, 개혁공천으로 낡은 정치 바꿔야"	"더불어민주당이 어제 내년 4월 총선에서 현역 의원의 기득권을 내려놓고 ‘정치 소외계층’의 참여를 확대하는 내용을 골자로 하는 공천룰을 확정해 공개했다. 민주당은 여성의 정치 참여 기회를 확대하기 위해 공천심사 때 가산점을 최고 25%로 상향했다. 또한 청년과 장애인, 당에 특별한 공로가 있는 사람에 대해서도 공천심사 때의 가산 범위를 현행 최대 20%에.."
01500601.20190425063018001	20190425	매일신문	"[사설] 오신환 사보임 허가한 문희상, 민주당 소속 국회의장인가"	"문희상 국회의장이 25일 국회 사법개혁특별위원회 바른미래당 간사인 오신환 의원의 사보임을 '병상(病床) 결재'했다. 이에 앞서 이날 오전 바른미래당 김관영 원내대표는 오 의원을 채이배 의원으로 교체하는 내용의 사보임 신청서를 팩스로 국회 의안과에 제출했다. 국회 사무처 의사국장은 팩스 신청서를 문 의장이 입원 중인 병원으로 가져가 대면 보고했다. 
 
.."
