식별자	일자	언론사	제목	본문
01100611.20190418034310001	20190418	서울신문	"[사설] 한국당, 세월호와 5 18 막말 일벌백계해야"	"자유한국당 황교안 대표가 어제 자당 소속 전 현직 의원의 ‘세월호 막말’과 관련, “윤리위원회에서 응분의 조치를 취해주기를 바라고, 다시 한번 당 대표로서 국민 여러분께 사죄의 말씀을 드린다”고 말했다. 황 대표는 그제에는 “유감을 표하며 진심 어린 사죄의 말씀을 드린다”는 입장문을 냈다.
차명진 전 의원은 지난 15일 세월호 희생자 가족을 비난하며 페.."
01101101.20190417050645001	20190417	한국일보	"[사설] 5ㆍ18 이어 세월호 망언, 한국당 이러고도 집권 바라나"	"세월호 참사 5주기를 맞아 국민적 추모와 기억 열기가 높은 가운데 자유한국당 일부 인사들이 세월호 유가족을 향해 ”징하게 해 처먹는다”는 등의 망언을 해 ‘막장 정당’이라는 비난을 자초하고 있다. 여야 정치권이 어제 안산에서 4ㆍ16재단 등이 주관한 ‘세월호 5주기 기억식’에 참석한 것과 달리, 한국당 지도부는 인천에서 별도로 열린 일반인 희생자 추모제.."
01100201.20190417040340001	20190417	국민일보	[사설] 세월호 유족 모욕하고 국민 분노케 한 망언	"세월호 5주기에 자유한국당 전현직 의원들이 쏟아낸 막말은 자식을 잃은 슬픔마저 정치 영역으로 들어가면 갈등과 음모의 소재로 전락하는 것을 보여준다. 차명진 전 의원은 페이스북에 세월호 유가족들을 향해 “징하게 해 처먹는다”고 썼고, 정진석 의원은 누군가로부터 메시지로 받은 글이라며 “세월호 그만 좀 우려먹으라”는 내용을 올렸다. 취중에 한 말실수가 아니.."
01100801.20190417031902001	20190417	조선일보	"[사설] 세월호 참사 5년, 우리 사회 더 안전해졌나"	어제가 세월호 사고 5주기였다. 사고가 발생한 진도 팽목항을 비롯해 전국 곳곳에서 희생자들을 추모하는 행사가 열렸다. 어린 학생들을 포함해 304명의 꽃다운 목숨이 스러져간 사고였다. 사고 이후 짧지 않은 시간이 흘렀지만 많은 국민이 아직도 가슴 한구석에 안타까운 마음을 갖고 있다. 세월호 사고는 우리 사회 전체가 안전 문제에 대해 경각심을 갖고 시스템..
01600501.20190417003045002	20190417	무등일보	사설(상) 세월호 책임자 처벌않고 치유 말할 수 없다	"세월호 유가족과 진상 규명 운동을 벌이고 있는 ‘4월 16일의 약속 국민 연대’가 박근혜 전 대통령, 황교안 전 법무부 장관, 이주영 전 해양수산부 장관, 김기춘 전 대통령 비서실장, 우병우 전 민정수석 등을 세월호 참사 책임자로 지목했다. 이들은 세월호 침몰 당시, “구조가 가능했던 1시간 40분동안 대기하라고 지시해 무고한 국민들을 희생시킨 이들”이.."
01100101.20190416203209003	20190416	경향신문	[사설]인간이기를 포기한 한국당 인사들의 세월호 유족 모욕	"다시 아픈 ‘기억의 꽃’이 영그는 4월, 그 16일을 맞이했다. 사랑하는 이를 이유도 모른 채 떠나보낸 유족, 갑작스레 닥친 참사에 영문도 모르고 살아남은 사람들에게 삭이기는커녕 갈수록 선명해지는 그날이다. 올해도 서울과 안산, 진도 등에서 추모와 애도의 노란리본이 물결치고, ‘잊지 않겠습니다’라는 5년 전의 다짐과 약속을 되새겼다. ‘진실규명’의 외침.."
01500701.20190416192600001	20190416	부산일보	[사설] 절망 고통 아랑곳 않고 5주기에 터져 나온 세월호 막말	어제 4월 16일은 세월호 참사 5주기를 맞은 날이었다. 부산의 초 중 고교 대부분에서 세월호 5주기 추모 묵념이 마련되는 등 전국 곳곳에서 추모 행사가 열렸다. 세월호 부산대책위원회를 비롯한 시민단체들은 철저한 진상 규명과 책임자 처벌을 촉구하는 성명을 잇따라 발표했다. 그런데 이런 세월호 희생자 추모 열기를 정면으로 거스르는 막말이 정치권에서 터져 ..
01101101.20190416050620001	20190416	한국일보	"[사설] 세월호 참사 5주기, 아직도 요원한 진상규명과 안전사회"	"세월호 참사 5주기를 맞아 전남 진도 팽목항과 선체가 안치된 목포신항, 경기 안산 등지에서 각종 추모행사가 열리고 있다. 세월호 참사 희생자를 추모하고 안전사회를 염원하기 위함이다. 또 ‘4월 16일의 약속 국민연대’와 4ㆍ16 세월호참사가족협의회는 15일 서울 광화문 기억공간 앞에서 기자회견을 열고 세월호 참사 처벌 대상 1차 명단을 발표하고 이들에 .."
01100611.20190416034258001	20190416	서울신문	"[사설] 세월호 5주기, 안전사회 구축 더 이상 늦출 수 없다"	"오늘은 세월호 참사 5주기다. 5년 전 인천에서 제주로 가던 세월호에는 수학여행을 가는 단원고 고등학생 등 탑승자 476명이 타고 있었는데, 배가 침몰하면서 이 중 304명이 사망 실종된 대형 참사였다. 배가 가라앉는데도 선내에서는 “가만히 있으라”는 방송이 되풀이됐고 약속한 구조 작업은 이뤄지지 않았다. 정부는 세월호 침몰 원인으로 화물 과적, 무리한.."
02100101.20190416000251001	20190416	매일경제	"[사설] 세월호 5주년, 대한민국은 더 안전한 나라가 되었나"	"세월호 참사 후 다섯 번째 봄이 찾아왔다. 5년 전 안산 단원고 학생 등 304명이 진도 앞바다에서 생때같은 목숨을 잃으면서 우리 사회는 거대한 충격과 비탄에 잠겼다. 참사 5주년을 맞은 지금, 대한민국은 더 안전한 나라가 됐는가.
세월호 참사 이후 정부는 '국가개조'를 내걸고 ""재난 안전은 국가가 책임지겠다""고 약속했다. 하지만 사회 곳곳에는 고질적 .."
01400501.20190415223153001	20190415	중부일보	[사설] 추모하고 기억하는 세월호 5주기	"세월호 참사 5주기가 되었다. 지난 주말에는 희생자를 추모하고 참사를 기억하는 행사가 서울에서 열렸고, 목포에서도 추모음악회와 추모사진전 등이 열려 세월호 5주기를 기리고 있다. 특히 세월호가 거치된 목포 신항만에는 추모객의 발길이 이어지면서 다시 노란 물결을 이루고 있다. 지난해 5월 바로 세워져 1년 가까운 시간 동안 세월호는 선체 좌현이 대부분 녹.."
01101001.20190415184855001	20190415	한겨레	"[사설] 세월호 5주기, 한국 사회는 정말 안전해졌나"	"세월호 참사가 난 지 오늘(16일)로 5년이 됐다. 올해도 서울과 안산, 진도 등 국내외 곳곳에서 추모와 애도의 노란 리본이 물결치고, 수많은 이들이 “잊지 않겠다”고 했던 5년 전의 다짐과 약속을 되새기고 있다. 그러나 최근 희생자 가족과 관련 단체들이 ‘특별수사단 설치’와 ‘전면 재수사’ 등을 요구하고 나선 데서 보듯이, 침몰과 구조 실패의 원인 규.."
01600501.20190410200016001	20190410	무등일보	"사설(하) 세월호 참사 5주기, 기억재생 행사 이어진다"	"그 날의 참사 이후 벌써 5년의 세월이 흘렀다. 참혹했던 기억은 엊그제 일처럼 생생하기만 하다. 수백여명의 꽃다운 목숨들이 차가운 바닷속으로 수장될 때 아무것도 할 수 없었던 시민들은 여전히 트라우마에서 벗어나지 못하고 있다. 
세월호 참사 5주기를 앞두고 시 도민들이 그날의 기억을 재생하는 행사들을 펼친다. 
세월호 광주시민상주모임과 광주청소년 촛불모.."
