식별자	일자	언론사	제목	본문
01101001.20190613183841002	20190613	한겨레	[사설] ‘단독 국회’ 자초하는 자유한국당의 거듭된 ‘몽니’	"국회 정상화를 위한 여야 협상이 막판 초읽기 단계에서 좀처럼 타결되지 못하고 있다. 이견이 좁혀질 때마다 자유한국당이 또다른 조건을 내걸면서 협상이 꼬이고 있다고 한다. 자유한국당은 지난주엔 정치개혁특위와 사법개혁특위 재구성을 요구하더니, 이번엔 ‘경제실정 청문회 개최’를 국회 정상화 조건으로 추가로 내놓았다. 난데없는 경제 청문회를 요구하는 건 총선용.."
01200101.20190606214826002	20190606	경기일보	[사설] 아직도 정신 못차린 자유한국당	"막장 식물국회가 이어지는 데에는 여당인 더불어민주당의 일방적인 패스트트랙 안건 상정에 그 원인이 있다. 이 와중에 상대 진영을 겨냥한 막말은 극에 달하고 있다. 최근 막말은 주로 한국당에서 양산하고 있다. 

5ㆍ18 괴물집단 망언, 세월호 유가족 폄하 발언, ‘달창’ 사태에 이어 정용기 정책위원장의 ‘김정은 치켜세우기’, 민경욱 대변인의 ‘헝가리 참사.."
01100901.20190603000726001	20190603	중앙일보	[사설] 막말 혐오 대신 자유한국당의 대안을 듣고 싶다	"마치 ‘막말 바이러스’에라도 감염된 것일까. 그렇지 않으면 주요 당직자들이 돌아가면서 이런 막말을 쏟아내진 못할 것이다. 
 
 자유한국당 정용기 정책위의장은 지난달 31일 국회의원 당협위원장이 모인 연석회의에서 “김정은 북한 국무위원장의 야만성에는 몸서리가 쳐지지만, 그런 야만성 불법성 비인간성을 뺀다면 문재인 대통령보다 지도자로서 더 나은 면도 있는.."
01101001.20190531184906001	20190531	한겨레	"[사설] 자유한국당, ‘막말’ 그만하고 국회 돌아와 민생 챙겨야"	5월 국회를 ‘빈손’으로 흘려보낸 정치권이 ‘6월 국회’ 정상화 문제에서도 접점을 찾지 못한 채 대치를 계속하고 있다. 이 와중에 “김정은 북한 국무위원장이 문재인 대통령보다 낫다”는 자유한국당 정책위의장의 도를 넘은 막말까지 나오면서 정국 경색이 더욱 심화되고 있다. 국회는 외면한 채 밖에서 ‘막말’을 반복하는 행태가 언제까지 계속될지 답답할 따름이다..
01101001.20190524181806001	20190524	한겨레	"[사설] 자유한국당, 조건 없는 ‘국회 복귀’ 결단하길"	"더불어민주당, 자유한국당, 바른미래당 등 여야 3당 교섭단체 원내수석부대표들이 24일 국회 정상화를 위해 만났지만 접점을 찾지 못하고 원내대표 회동을 건의하기로 했다. 지금 상황에선 원내대표들이 만난다고 해서 해법을 찾을 것 같지 않다. 대치정국 해결책에 대한 더불어민주당과 자유한국당의 생각이 너무 다르기 때문이다.

 5월 국회가 한달 가까이 ‘빈손’.."
01101101.20190514050620002	20190514	한국일보	"[사설] 靑과 자유한국당, 지금이 회담 형식 따질 땐가"	문재인 대통령이 어제 집권 3년 차 첫 수석ㆍ보좌관 회의를 주재하며 지난 2년의 평가와 함께 향후 과제를 밝히는 가운데 강한 어조로 정치권을 비판해 파장이 예상된다. 청와대 여야 대표회담과 여야정 상설협의체 재개의 형식과 의제를 둘러싼 청와대와 자유한국당의 줄다리기와 기 싸움에 문 대통령이 가세했으니 말이다. 청와대의 여야 5당 대표회담 및 여야정 협의..
01500801.20190429081903001	20190429	영남일보	"[사설] 자유한국당의 저항은 이유가 있다, 새겨들어야"	"정치권이 극한대립을 이어가고 있다. 핵심은 선거제도 개편과 고위공직자비리수사처 설치 법안이다. 찬반이 엇갈리지만, 이번 사안에 대한 ‘국민적 숙지도’가 낮다는 점은 분명 문제가 있다.



우선 선거법 개정에서 지역구 국회의원을 줄이고 비례대표를 늘리는 안이다. 국회의원 정수 300명을 그대로 두고, 지역구 의원을 253석에서 225석으로 28석 줄이고.."
01101001.20190428185834002	20190428	한겨레	[사설] ‘밥그릇 지키기’가 ‘반독재 투쟁’이라는 자유한국당	"자유한국당이 27일 열린 광화문 집회에서 ‘독재 타도, 헌법 수호’를 전면에 내걸었다. 황교안 대표는 “야만 행위를 국회에서 못 하도록 막는 정의로운 투쟁을 한국당이 하고 있다”며 “자녀들이 김정은 같은 독재자 밑에서 살아가지 않도록 궐기할 때”라고 외쳤다. 나경원 원내대표는 “좌파독재를 타도하고 자유민주주의를 지켜내겠다”고 했다. 국회를 난장판으로 만.."
01600501.20190422100109001	20190422	무등일보	사설(상) 5 18 망언 의원 징계쇼 보여준 자유한국당	"자유한국당이 꼼수 징계쇼를 이어가고 있다. 국민적 공분을 산 5 18망언 의원들의 징계를 두달여간이나 질질 끌더니 최종적으로 내린 징계 수위는 솜방망이에 불과했다. 
한국당 중앙윤리위원회는 지난 19일 ‘5 18망언’으로 논란이 된 김순례 의원에게 당원권 정지 3개월, 국회에서 공청회를 열어 망언의 판을 깔아준 김진태 의원은 ‘경고’ 처분을 내렸다. 김.."
01101101.20190420050436001	20190420	한국일보	"[사설] 자유한국당, 5ㆍ18 망언 두 달이나 뭉개다 솜방망이 징계인가"	자유한국당이 19일 윤리위원회를 열어 5ㆍ18 망언 관련 김순례 최고위원과 김진태 의원에게 ‘당원권 정지 3개월’과 ‘경고’의 경징계를 내렸다. 김순례 의원의 최고위원직 유지 여부는 지도부에 맡겨 자리를 유지할 것이라는 전망이 나온다. 국민적 공분에도 불구하고 두 달 가까이 징계를 미루며 버티다 내린 징계치고는 미흡한 수준이 아닐 수 없다. 윤리위는 또..
