식별자	일자	언론사	제목	본문
01100401.20190608030309002	20190608	동아일보	"[사설]최저임금, 업종별 지역별 차등적용 추진이 옳다"	최저임금위원회가 5일 공청회를 시작으로 본격적인 활동에 들어갔다. 최저임금위는 사회적으로 거센 ‘최저임금 논란’을 불러일으켰던 기존 공익위원 등이 사퇴하고 지난달 말 11명의 새로운 위원을 위촉해 재가동했다. 최저임금법에 따르면 위원회는 이달 27일까지 내년도 최저임금을 결정해야 하지만 위원들이 대거 교체되는 등의 사정으로 다음 달에야 결정될 수 있을 ..
01100801.20190531031836001	20190531	조선일보	"[사설] 국민은 다 아는데 이제야 ""최저임금 속도위반"""	"최저임금 과속 인상의 부작용을 인정하는 목소리가 청와대 정부 여당에서 약속이라도 한 듯 일제히 쏟아져 나오고 있다. 이미 '최저임금 급속 인상'이 여기저기서 돌이키기 힘든 고용 참사를 불렀고 지금도 사업장 곳곳에서 고통을 겪고 있는데 이제 와서 최저임금 부작용을 말하니 이런 뒷북이 없다. 이번 주 초 청와대 경제수석은 ""(내년도) 최저임금 수준을 합리적.."
02100101.20190531000312002	20190531	매일경제	"[사설] 최저임금위, 2년간 29% 인상 부작용부터 돌아보라"	최저임금위원회가 어제 전원회의를 열고 최저임금 심의에 들어갔다. 내년도 최저임금 고시 기한이 8월 5일이라 7월 중순까지는 결론을 내야 하는데 경영계와 노동계 주장이 극명하게 엇갈리고 있어 양쪽 모두 만족할 만한 합의점을 찾기는 쉽지 않을 것이다. 하지만 박준식 한림대 교수가 신임 위원장으로 위촉되는 등 공익위원 8명과 사용자위원 2명이 교체되며 새로 ..
07100501.20190530152410001	20190530	전자신문	"[사설]최저임금, 이번에는 달라야 한다"	최저임금위원회가 30일 전원회의를 열고 내년도 최저임금 심의에 들어갔다. 이보다 앞서 위원회는 신임 위원장으로 박준식 한림대 사회학과 교수를 선출했다. 박 교수는 대통령 직속 정책기획위원회 포용사회분과위원장직을 맡고 있다. 박 신임 위원장은 “위원장이자 공익위원 가운데 한 명으로서 우리 사회에 도움이 되는 방향으로 결과가 나올 수 있도록 최선을 다하겠다..
01100801.20190523032034001	20190523	조선일보	[사설] '최저임금' 부작용 인정하는 데 1년 5개월 걸렸다	"최저임금 인상이 도 소매, 음식 숙박업, 자동차 부품 제조업 등의 고용에 악영향을 미쳤다는 사실을 고용노동부가 처음으로 공식 인정했다. 고용부 용역을 받은 학회의 심층 조사 결과, 종업원을 줄이거나 영업시간을 단축한 것이 확인됐다는 것이다. 국민이 다 아는 뻔한 상식을 확인하는 데 무려 1년 5개월이 걸렸다. 고집이 아니라 현실 회피다. 보고서 내용은 .."
01100901.20190523001003001	20190523	중앙일보	[사설] “최저임금은 죄가 있다” 경제성장률 줄줄이 하향 조정	줄줄이 하향 조정이다. 어제 KDI는 올해 경제성장률 전망치를 2.6%에서 2.4%로 낮췄다. 이틀째 이어진 비보다. 하루 전 OECD도 2.6% 전망을 2.4%로 내렸다. 그래도 시장 반응은 무덤덤하다. 성장률 하향 조정에 면역이라도 생긴 듯하다. 실제로 그럴 만큼 국내외에서 성장률 낮추기가 쏟아졌다. 한국은행 LG경제연구원 무디스 노무라증권 바클레이..
01100701.20190522001411001	20190522	세계일보	[사설] 정부 “최저임금 탓에 고용 감소” 정책기조 손볼 때다	"최저임금 인상이 고용 감소를 초래했음을 정부가 처음으로 인정했다. 고용노동부가 어제 최저임금 영향분석 토론회에서 공개한 ‘최저임금 현장 실태파악 결과’에 따르면 최저임금 인상이 도 소매업, 음식 숙박업 등에 속하는 다수 기업의 경영을 악화시키고 고용을 감소시켰다고 한다. 중소제조업과 일부 기업에서도 고용 감소가 있었지만 오히려 증가한 업종도 있다고 했다.."
07100501.20190521134226001	20190521	전자신문	[사설]최저임금 인상 속도 조절해야	일자리 창출은 현 정부의 최우선 국정 과제다. 일자리는 최고 복지라는 캐치 프레이즈도 내걸었다. 정권 출범 초기에 청와대에는 일자리 상황판도 마련됐다. 결과는 어떤가. 공무원과 공공 부문 직장을 제외하고 지속 가능한 일자리가 증가했는가. 사상 최고치를 경신한 청년 실업률도 해결 과제로 떠올랐다. 민간 부문의 일자리 창출에 대한 우려감은 해소되지 않는다...
02100601.20190515001520001	20190515	한국경제	"[사설] '위헌' 심판대 오른 주52시간 최저임금, 제대로 검증 받아야"	"문재인 정부 소득주도성장 정책의 핵심인 가파른 최저임금 인상과 주 52시간 근로제도가 위헌 심판대에 올랐다. 보수 성향 변호사단체인 ‘한반도 인권과 통일을 위한 변호사모임(한변)’이 지난 14일 관련 법 조항의 위헌 여부를 가려달라며 헌법재판소에 헌법소원을 제기했기 때문이다. 
 
문제가 된 조항은 최저임금법과 근로기준법상 형사처벌 규정이다. 최저임금법.."
02100311.20190514184116001	20190514	서울경제	[사설] ‘최저임금-생산성 연동하라’는 IMF 지적 새겨들어야	국제통화기금(IMF)이 “최저임금 인상을 노동생산성 증가와 연동시키고 중소기업에 대한 보상 보조금을 단계적으로 줄이라”고 한국에 권고했다. IMF는 2월 말부터 3월 초까지 기획재정부와 한국은행 금융위원회 관계자 등과 논의한 자료를 바탕으로 연례협의 결과 보고서를 작성한 뒤 13일(현지시간) 공개했다. 최종 보고서에서 IMF는 내년도 최저임금 상승률이 ..
