식별자	일자	언론사	제목	본문
01100101.20190613204701001	20190613	경향신문	[사설]‘추경 국회’ 외면한 채 추경토론회만 연 한국당	국회를 정상화하기 위한 여야 간 협상이 다시 난항을 겪고 있다. 최대 난관인 패스트트랙 법안 처리에서 절충점을 찾아 합의문까지 쓰는 단계에서 협상이 틀어졌다. 자유한국당이 추가경정예산의 필요성을 따지기 위해 청문회를 열자고 주장했기 때문이다. 한국당은 13일 이런 논리를 내세우며 국회에서 ‘재해 및 건전재정 추경 긴급토론회’를 열었다. 민생이 어렵다고 ..
01101101.20190613050626002	20190613	한국일보	[사설] 전략 없이 국회 밖에서만 떠돌다 靑에 난타당한 한국당	청와대가 어제 국회의원 국민소환제 도입을 요구하는 국민청원에 공감을 표시하며 “관련 법이 20대 국회에서 완성되기를 간절히 바란다”는 답을 내놓았다. 전날 자유한국당과 더불어민주당의 해산을 청구하는 청원에 대해 “우리 정당과 의회정치에 대한 준엄한 평가”라고 답변한데 이어 국회파행을 방치하는 정치권을 이틀 연속 공격한 것이다. 청원 답변을 빌미로 삼은 ..
01500801.20190612083110003	20190612	영남일보	"[사설] 한국당, 혁신과 정책대안 없이 수권정당 어렵다"	자유한국당 ‘현역 의원 대거 물갈이론’의 파장이 예사롭지 않다. 친박계 중진인 홍문종 의원은 탈당까지 시사했다. 홍 의원은 지난 8일 서울 태극기 집회에서 한국당 탈당 의사를 밝힌 데 이어 11일엔 라디오 프로그램에서 황교안 대표와 당 신정치혁신특위를 향한 불만과 비난을 쏟아냈다. 홍 의원은 “한국당 공천을 받는다고 무슨 의미가 있겠느냐”며 탈당 후 태..
01100201.20190612040332001	20190612	국민일보	"[사설] 靑, 한국당 해산 청원에 이렇게 답했다면 "	"자유한국당과 더불어민주당 해산 청구를 각각 주문한 국민청원에 청와대가 답변을 내놨다. 한국당 해산은 183만명, 민주당 해산은 33만명이 청원에 참여한 터였다. 강기정 정무수석은 두 청원을 한데 묶어 답했다. 정당해산 제도의 유례를 언급했고 법적 요건을 설명했다. 제 기능 못하는 국회의 모습을 지적하면서 이번 청원을 “정당과 의회정치에 대한 국민의 준엄.."
01500601.20190610063036001	20190610	매일신문	"[사설] 한국당, 지역 공헌 없거나 무능 다선 의원 공천 배제해야"	"자유한국당에서 내년 총선 공천을 둘러싼 논란이 뜨겁다. 대구경북이 물갈이 타깃이 될 것이라는 우려가 많고, 실제로 그럴 가능성이 높다. 지역 출신이라는 이유로 쇄신의 대상이 되거나 친박(친박근혜)계를 특정해 희생양으로 삼는 것은 결단코 반대한다. 그보다 훨씬 중요한 것은 문제 있는 의원들을 제대로 솎아내는 공천이 될 수 있느냐 하는 점이다. 
 
 한국.."
01100101.20190610202458001	20190610	경향신문	"[사설]국회도, 민생도 외면하는 한국당 공당 책무 잊었나"	문희상 국회의장과 여야 대표는 매월 초 정례 모임을 갖는다. 10일 황교안 자유한국당 대표는 지난달에 이어 이달에도 일정상의 이유로 불참했다. 이날 서울 남영동 옛 대공분실에서는 6 10민주항쟁 제32주년 기념식이 열렸다. 황 대표는 이자리에도 불참했다. 대신 오전 10시 국회에서 열린 문재인 정부 ‘표현의 자유’ 억압 실태 토론회에 참석했다. 그에겐 ..
01100901.20190610000656001	20190610	중앙일보	[사설] 한국당에 “인적 혁신하라”는 이문열의 고언	"보수도 ‘혁신’해야 한다. 이제 새로운 것이라면 거부하고, 낡은 것이라면 끌어안는 것이 보수라는 착시에서 자유한국당은 벗어나야 한다. 그게 원로 소설가 이문열씨가 지난 8일 황교안 대표에게 충고한 말의 함의(含意)라고 본다. 이날 황 대표는 경기 이천시에 있는 이씨의 사숙(私塾) 부악문원을 찾아가 1시간 동안 차담을 했다. 차담 후 황 대표는 자세한 대.."
01100101.20190607204353001	20190607	경향신문	"[사설]황 대표 ‘경고’ 시험하는 듯, 또 나온 한국당 막말"	자유한국당에서 또 막말이 터져 나왔다. 차명진 전 한국당 의원은 6일 페이스북에 “우선 입 달린 의원 한 명이라도 이렇게 외쳐야 한다. 문재인은 빨갱이!”라고 썼다. 문재인 대통령이 현충일 추념사에서 약산 김원봉을 언급했다는 이유 때문이다. 문 대통령은 “광복군에는 무정부주의 세력 한국청년전지공작대에 이어 약산 김원봉 선생이 이끌던 조선의용대가 편입되어..
01500801.20190604081406002	20190604	영남일보	"[사설] 한국당의 막말과 몽니, 중도 등 돌리게 하는 자해다"	자유한국당이 장외투쟁에 이은 대여 강경 일변도로 정국을 주도하면서 역풍을 맞는 모양새다. 원내는 나경원 원내대표를 비롯한 민경욱 대변인까지 가세해 청와대와 집권 여당의 흠집내기에 여념이 없는 와중에 부적절한 언사를 넘어선 막말 퍼레이드를 벌이며 여야 4당으로부터 공격을 자초하고 있다. 여기에 황교안 대표는 연일 문재인 대통령의 실정을 부각하며 공세의 도..
07101201.20190604215209001	20190604	디지털타임스	"[사설] 한국당, 일단 국회 복귀해 민생법안 챙겨라"	"여야 국회 정상화 협상이 평행선을 그으면서 6월 국회 개회도 오리무중이다. 더불어민주당이 자유한국당을 제외한 채 3일 단독 소집하겠다고 한 데서 한 발짝 물러났지만, 민주당과 한국당간 패스트트랙(신속처리안건)을 놓고는 팽팽한 이견을 보이고 있다. 협상을 계속 이어간다지만, 이견 폭이 워낙 커 합의하기가 쉽지만은 않아 보인다. 게다가 한국당은 ""(민주당이.."
01100201.20190603040251001	20190603	국민일보	[사설] 한국당 막말 퍼레이드 언제까지 계속할 것인가	"자유한국당 인사들의 막말이 반복적이고 지속적이다. 정치 경쟁과 갈등 과정에서 막말을 완전히 제거하기는 어렵다. 하지만 새로운 막말이 이전 막말을 덮는 식으로 끊임없이 나오고 있는 것이 문제다. 
 
 민경욱 대변인은 헝가리 유람선 사고와 관련해 자신의 페이스북에 “골든타임은 3분”이라며 “문재인 대통령은 세월호 구조대를 지구 반 바퀴 떨어진 헝가리로 보.."
