식별자	일자	언론사	기고자	제목	통합 분류1	통합 분류2	통합 분류3	사건/사고 분류1	사건/사고 분류2	사건/사고 분류3	인물	위치	기관	키워드	특성추출	본문	URL	분석제외 여부
02100501.20190522165854001	20190522	파이낸셜뉴스	곽인찬	"[fn사설] 퇴직연금 손질하려는 민주당, 기대가 크다"	정치>행정_자치						"최운열,이해찬"	미국	"간담회,국민연금공단,민주당,기금운용본부,더불어민주당,국민연금,고용노동부,기초연,기금운용위원회"	"퇴직연금,손질,민주당,자본시장,특위,차원,주길,집권,더불어민주당,퇴직연금,손질,위원장,최운열,자본,시장,특위,연내,디폴트,옵션,기금,퇴직,연금,입법,퇴직연금,수익률,1%,이자,은행,정기예금,190조,2018년,기준,자금,사실상,구석,퇴직연금,퇴직금,제도,2005년,제정,보장법,근로자,퇴직,급여,근거,법률,15년,가량,퇴직연금,뿌리,사업장,사업장,절반,정도,제도,예전,퇴직금,고수,연금제,기업,수령,압도적,예전,노후보장,소득,퇴직금,기초연금,국민연금,여유,사람,개인연금,체계,3층,노후,보장,기초,국민연금,1층,퇴직,기업,연금,2층,개인연금,3층,추세,글로벌,저금리,퇴직연금,적립금,은행,정기예금,특위,민주당,자본시장,제안,퇴직연금,국민연금,국민연금,가입자,보험료,운용,기금운용위원회,국민연금공단,기금운용본부,일임,수익률,국민연금,운용,퇴직연금,퇴직연금,개별,가입자,지시,대로,자금,규모,운용,범위,구조적,고수익률,기금,퇴직연금,한계,회사,퇴직연금,자산운용사,자동투자제도,디폴트옵션,가입자,성향,파악,전문가,퇴직금,채권,주식,투자,손해,실제,미국,금융위기,퇴직연금,주무,부서,고용노동부,수익,안정,중시,노조,설득,1월,민주당,이해찬,대표,금융투자업계,간담회,퇴직연금,혁신,추진,자본시장특위,경영학자,출신,최운열,위원장,선전"	"퇴직연금,국민연금,자본시장특위,퇴직금,3층,가입자,민주당,최운열,근로자,사업장,정기예금,노후보장,수익률,위원장,개인연금,금융위기,저금리,자본시장,2층,1층"	"자본시장 특위가 앞장.. 당 차원에서 밀어주길 

 

 

 
 
 집권 더불어민주당이 퇴직연금을 손질하기로 했다. 최운열 자본시장특위 위원장은 20일 ""연내 디폴트 옵션과 기금형 퇴직연금제 도입을 위한 입법에 나서겠다""고 말했다. 지난해 퇴직연금 수익률은 1%를 간신히 넘겼다. 은행 정기예금 이자보다 낮다. 190조원(2018년 말 기준)에 이르는 .."	http://www.fnnews.com/news/201905211655416136	
01200101.20190520210510004	20190520	경기일보	경기일보	"[사설] 2차 공공기관 이전, 수도권 피해 뻔한데 / '총선 공약' 검토한다는 민주당의 배짱"	미분류						"김태년,윤,윤호중,이해찬"	수도권	"한겨레신문,정책위의장,민주당,더불어민주당,경기일보,교섭단,참여정부,서울시,인천시,경기도"	"2차,공공기관,수도권,총선,공약,검토,민주당,배짱,사무총장,민주당,윤호중,지방,2차,공공기관,공약화,언급,13일,한겨레신문,대담,122곳,내년,총선,수도권,소재,공공기관,지방,공약,내부,검토,설명,정부,2차,공공기관,추진,총선,공약,국민,지지,검토,총선,공약,발언,총장,지방혁신균형발전추진단장,2차,공공기관,공약,검토,진행,짐작,이해찬,대표,주장,9월,연설,교섭단체,대표,국가균형발전특별법,대상,기관,적합,지역,선정,당정,협의,공언,예상,대로,진행,수도권,주민,반대,서울시민,경기도민,인천시민,반대,수도권,민심,민주당,수도권,반발,진정,발언도,김태년,정책위의장,김태년,해명,수도권,관할,구역,기관,수도권,관리,기관,제외,설명,총선,11개월,골자,공약화,선언,정책,추진,노력,의지,단계,공약,채택,약속,단계,확약,증빙,집권,여당,약속,법률,유권해석,효율성,검토,단계,정치,선언,총선,일사천리,가능성,규모,기관,대상,공공,122개,500개,확장설,상황,참여정부,2017년,공공기관,153개,60개,경기도,공동화,도심,초래,흉물지대,10여,부지,매각,수도권,입장,1차,공공기관,뒤치다꺼리,마당,122개,해석,150여,총선,공약,수도권,승리,확신,모양,계산,모양,수도,기관,지방,약속,수도권,표심,더불어민주당,자신,배짱,경기일보,www.kyeonggi.com,무단전재,재배포금지"	"수도권,공공기관,민주당,2차,김태년,공약화,10여,교섭단체,윤호중,무단전재,흉물지대,인천시민,경기도,인천,경기도민,한겨레신문,공동화,확장설,참여정부,경기일보"	민주당 윤호중 사무총장이 2차 공공기관 지방 이전 공약화를 언급했다. 13일 있었던 한겨레신문과의 대담에서다. 그는 “내년 총선 때 수도권 소재 공공기관 122곳을 지방으로 이전하는 공약을 내놓을 것을 당 내부에서 검토하고 있다”고 밝혔다. 이유도 설명했다. “정부가 좀 더 힘 있게 2차 공공기관 이전을 추진하려면 총선에서 공약으로 내놓아 국민적 지지를..	www.kyeonggi.com/news/articleView.html?idxno=2102662	
01101101.20190509050615001	20190509	한국일보		[사설] 친문 색채 엷은 50대 민주당 새 원내대표에 거는 ‘정치 복원’ 기대	정치>국회_정당	 정치>행정_자치					"김관영,김근태,장정은,나경원,이인영"		"바른미래당,정의당,민주평화당,민주당,청와대,자유한국당,의원총회,더불어민주당,지도부,국회,황교안,한국당"	"친문,색채,민주당,원내대표,정치,복원,더불어민주당,원내대표,선출,대치,여야,극한,국회,파행,출구,주목,민주당,민주평화당,9일,원내대표,교체,내분,바른미래당,김관영,원내대표,후임,선출,정의당,7월,개편,지도부,전면,예고,선거법,개혁안,패스트,트랙,강행,주도,원내사령탑,여야,4당,원내,사령,계기,여야,대화,국회,정상화,당대표,장외,투쟁,국면,자유한국당,대화,한국당,파행,당사자,만큼,책임,정치,복원,8일,민주당,의원,총회,3선,이인영,의원,결선투표,접전,예상,원내대표,선출,김근태,의원,계열,친문,계파색,상대적,중반,원내대표,등장,국회,정상화,긍정적,작용,전망,원내대표,나경원,한국당,연배,당내,목소리,대변,일성,원내,대표,교체,협상,모멘텀,강조,정치,복원,협상,해결,미지수,당면,추경예산안,야당,재해,예산,분리,요구,사실상,보이콧,상태,최저임금,개편,탄력근로제,입법,혁신,성장,토대,데이터3법,화급,사안,패스트트랙,검경,수사권,조정,법안,검찰,반발,개혁안,연동제,선거법,주장,의원정수,확대,국면,여야,지도부,협상,분위기,연일,독설,전선,확대,민주당,황교안,대표,장외,민생,장정은,국회,국민,볼모,대권,투쟁,평가절하,한국당,정권,소득,주도,성장,반기업정책,포퓰리즘,가지,마이너스,정권,상황,원내대표,역할,공간,청와대,민주당,한국당,장외투쟁,한계,사람,대화,최적,기회"	"원내대표,민주당,한국당,지도부,선거법,패스트트랙,친문,검경,3선,연동제,정상화,개혁안,의원정수,4당"	더불어민주당의 새 원내대표 선출로 여야 극한 대치 및 국회 파행이 출구를 찾을지 주목된다. 민주당에 이어 민주평화당도 9일 원내대표를 교체하고 내분에 휩싸인 바른미래당은 15일 김관영 원내대표 후임을 선출한다. 정의당은 7월 초 지도부 전면 개편을 예고했다. 선거법 개혁안 등의 패스트트랙 강행을 주도한 여야 4당 원내사령탑이 모두 바뀌는 것을 계기로 여..	http://www.hankookilbo.com/news/npath/?did=KP	
01100611.20190509034339002	20190509	서울신문		"[사설] 민주당 이인영 새 원내대표, 국회 정상화 해법 찾아라"	정치>행정_자치	 정치>국회_정당					"김태년,문재인,김근태,우상호,이인영,임종석,전해철"		"민주당,고려대,의원총회,더불어민주당,국회,GT,열린우리당,전대협,민주평화국민연대,청와대,자유한국당,전국대학생대표자협의회,한국당"	"민주당,이인영,원내대표,해법,국회,정상화,3선,이인영,의원,더불어민주당,원내대표,선출,신임,원내대표,결선,125표,76표,여당,원내사령탑,신임,원내대표,국회,마지막,원내,사령,집권,중반기,문재인,정부,성공,뒷받침,승리,내년,총선,중책,선거제,개혁법안,패스트트랙,신속처리안건,지정,반발,장외,투쟁,본격화,자유한국당,협상,테이블,신임,원내대표,총학생회장,고려대,대통령,직선제,전국대학생,대표자협의회,전대협,1기,의장,운동권,맏형,우상호,의원,임종석,청와대,비서실장,민주당,86세대,80년대,학번,60년대,정신,지주,재야,민주,운동,김근태,열린우리당,의장,최측근,경선,86세대,민주평화국민연대,민평련,친문재인,전해철,의원,부엉이,모임,지지,당선,청와대,출신,총선,전략,주도,반발,비문,의원들,압도적,지지,친문,실세,김태년,의원,결선투표,차이,원내대표,해법,국회,정상화,협상,유화,선거,기간,정치,정상화,명분,민생경제,연설,당선,수락,지혜,의원총회,협상,마지막,단계,집단,사고,근거,협상,국회,1월,개점휴업,2월,사실상,3월,비쟁점,법안,처리,4월,국회,법안,처리,100건,고소,고발,최악,기록,한국당,장외,투쟁,지속,5월,국회,기약,한국당,패스트,트랙,거부,국회,국회,파행,장기화,국회,민생,현안들,산불,당장,강원,미세먼지,대응,재난,대책,경기,대응,정부,제출,6조,규모,추가경정예산안,처리,탄력,근로,확대,근로기준법,개정안,개편,최저임금,결정,구조,최저,임금,개정안,택시,카풀,입법,현안,법안,처리,신임,원내대표,국회,정상화,한국당,대화,대치,민생,지혜"	"원내대표,정상화,개정안,한국당,청와대,원내사령탑,최저임금,패스트트랙,이인영,의원들,6조,강원,고려대,86세대,최측근,사실상,민주당,3선"	3선의 이인영 의원이 더불어민주당 새 원내대표로 선출됐다. 이 신임 원내대표는 어제 결선투표에서 125표 중 76표를 얻어 여당의 새 원내사령탑이 됐다. 이 신임 원내대표는 20대 국회 마지막 원내사령탑으로 집권 중반기로 접어드는 문재인 정부의 성공을 원활히 뒷받침하고 내년 총선 승리를 이끄는 중책을 맡았다. 선거제 개혁법안의 패스트트랙(신속처리안건) ..	http://www.seoul.co.kr/news/newsView.php?id=20190509031010	
01100101.20190508204835001	20190508	경향신문		"[사설]민주당 이인영 새 원내대표, 국회 정상화에 매진을"	정치>행정_자치	 정치>국회_정당					"김태년,김,이인영"	부산	"민주당,고위공직자범죄수사처,청와대,자유한국당,의원총회,더불어민주당,국회,한국당"	"민주당,이인영,원내대표,국회,정상화,매진을,더불어민주당,원내대표,이인영,의원,선출,86그룹,대표주자,3선,의원,8일,의원,총회,결선투표,125표,76표,원내사령탑,국회,마지막,여당,원내,사령,핵심,친문,김태년,의원,승부,예상,1차,투표,54표,의원,37표,결선,의원,27표,혁신,통합,청와대,목소리,집권,3년,개혁,원칙,뒷받침,계파틀,혁신,의원들,표출,결과,원내대표,임무,파행,국회,정상화,선거법,개혁입법,패스트트랙,반발,국회,장외,자유한국당,국회,방치,여야,대치로,3월,4월,국회,민생,현안,법안,처리,먼지,산불,당장,강원,재난,대책,경기,대응,추가경정예산안,처리,급선무,탄력,근로,확대,근로기준법,개정안,최저,임금,개정안,민생,노동,입법,기약,대기,패스트트랙,선거법,고위공직자범죄수사처,공수처,법안,검경,수사권,조정,법안,여당,원내대표,선출,계기,여야,협상,모멘텀,마련,한국당,7일,부산,시작,민생,투쟁,대장정,장외투쟁,전국,순회,돌입,지지세,결집,장외투쟁,수위,요량,국회,민생,외면,대가,민생,장외,원내,원내대표,대치정국,국회,시계,정상적,정치력,발휘,장외,야당,협상,테이블,여당,원내대표,단절,대화,채널,복원,교착정국,타개,실마리,원내대표,선출,계기,여야,발씩,대화,물꼬,장외,국회,민생,개혁,경쟁,모습"	"원내대표,개정안,장외투쟁,선거법,한국당,대장정,강원,1차,결선투표,패스트트랙,이인영,발씩,정상화,공직자,교착정국,청와대,계파틀,수사처,부산,뒷받침,지지세,대표주자,76표,125표,수사권,의원들,추가경정예산안"	"더불어민주당 새 원내대표에 이인영 의원이 선출됐다. ‘86그룹’ 대표주자로 3선 의원인 그는 8일 의원총회에서 결선투표 끝에 125표 중 76표를 얻어 20대 국회 마지막 여당 원내사령탑에 올랐다. 당초 친문계 핵심인 김태년 의원과 팽팽한 승부를 벌일 것이란 예상을 깨고 1차투표에서 54표를 얻어 김 의원(37표)을 크게 앞섰고, 결선에서도 김 의원을 .."	http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201905082040015&code=990101	
01101001.20190508194847001	20190508	한겨레		[사설] 이인영 새 민주당 원내대표에 거는 기대	정치>행정_자치	 정치>국회_정당					"문재인,이,나경원,이인영"	당	"전대협,민주당,자유한국당,더불어민주당,국회,대한민국"	"이인영,민주당,원내대표,더불어민주당,원내대표,의원,8일,이인영,선출,민주당,국회의원,의장,전대협,1기,세대,리더,상징성,경선,대표,좌절,의원,집권여당,원내사령탑,선택,혁신,통합,기치,당내,주류,비주류,원내대표,예상,몰표,촛불,정부,개혁,추동,목소리,신임,원내대표,3년,문재인,정부,3년,개혁,성과,각종,법안,속도감,처리,15,총선,내년,승리,단결,통합,총선,승리,당선,인사,성과,국회,파행,상태,원내대표,현실,원내대표,장외투쟁,자유한국당,설득,국회,정상화,정부,추경,처리,각종,민생법안,국회,정상화,필수적,원내대표,원내대표,나경원,자유한국당,국회,모습,국민,자유한국당,여야,4당,신속,처리,안건,지정,선거법,훼손,입법,어깨,원칙,훼손,정치,흥정,타협,원내대표,경선,다짐,세대,혁신,미래,세대,연대,실천,직선제,개헌,민주화,헌신,86세대,기득권,세력,현실,세대,산업,민주화,미래,세대,전략,거점,대한민국,미래,원내대표,다짐,내년,총선,인물,충원,쇄신,문화,결실"	"원내대표,자유한국당,민주화,민주당,이인영,86세대,전대협,1기,정상화,문재인,민생법안,원내사령탑,사령탑,직선제,4당,선거법,몰표,집권여당,국회의원,상징성,속도감"	"더불어민주당 새 원내대표로 8일 이인영 의원이 선출됐다. 민주당 국회의원들은 전대협 1기 의장을 지내고 ‘86세대 리더’라는 상징성을 갖췄지만 당 대표 경선에선 좌절했던 이 의원을 집권여당의 원내사령탑으로 선택했다. ‘혁신과 통합’을 기치로 당내 주류와 비주류를 아우르는 원내대표가 되겠다는 그에게 예상 밖의 몰표가 쏠린 건, ‘촛불 정부’의 개혁을 추동.."	http://www.hani.co.kr/arti/opinion/editorial/893142.html	
01101101.20190507050425001	20190507	한국일보		"[사설] 여야, 민주당 원내사령탑 교체를 정치 복원의 시발점 삼아라"	정치>국회_정당	 정치>행정_자치					"다이나,문재인,나경원,이미선,김무성,황,황교안"		"민주당,청와대,자유한국당,더불어민주당,한국갤럽,지도부,국회,몽니가 국회,한국당"	"여야,교체,민주당,원내,사령탑,정치,복원,시발점,여야,4당,패스트,트랙,강행,얼음,정국,출구,표류,걱정,지난달,4월,국회,이미선,헌법재판관,임명,강행,패스트트랙,후유증,여야,육탄,충돌,1건,법안,처리,고소고발,최악,기록,추경예산안,처리,민생,노동,현안,5월,국회,기약,지지세,결집,고무,자유한국당,장외투쟁,수위,국회,보이콧,선출,더불어민주당,원내,사령,리더십,조사,여론조사기관,리얼미터,한국당,지지율,문재인,정부,최고치,33.0%,기록,조사,직전,한국갤럽,추세,재확인,황교안,대표,지도부,발언,수위,대표,연일,장외투쟁,각오,투쟁,좌파,독재,타도,투사,자처,김무성,의원,공개석상,4대,해체,다이나마이트,문재인,청와대,막말,대표,6선,중진,발언,민주당,반응,나경원,원내대표,김정은,수석대변인,발언,과잉,반응,역효과,학습효과,한국당,원내,복귀,당면과제,판단,원내대표,경선,후보,3인,대야,회복,대야,한국당,제시,회군,명분,고민,지지율,판단,한국당,7일,예정,민생,투쟁,국토,장정,돌입,의식,게다,정국,경색,장기화,민주당,한국당,부담,5당,합의,한국당,몽니,국회,파행,원인,비판,장외투쟁,지속,명분,동력,부족,소속,의원들,삭발,투쟁,조롱,투쟁,일변도,전략,무모,경선,민주당,원내대표,정치복원,시발점"	"한국당,민주당,장외투쟁,원내대표,문재인,지지율,4대,1건,재확인,시발점,한국갤럽,여론조사기관,패스트트랙,더불어민주당,리얼미터"	여야 4당의 패스트트랙 강행으로 빚어진 ‘얼음 정국’이 출구를 못찾고 마냥 표류해 걱정이다. 지난달 초 문을 연 4월 국회는 이미선 헌법재판관 등의 임명 강행과 패스트트랙을 둘러싼 여야 육탄충돌 후유증으로 단 1건의 법안도 처리 못한 채 100여건의 고소고발만 주고받는 최악의 기록을 남기게 됐다. 더 큰 문제는 추경예산안 등 처리가 시급한 민생ㆍ노동 현..	http://www.hankookilbo.com/news/npath/?did=KP	
01100101.20190503204311002	20190503	경향신문		"[사설]현역 기득권 줄인 민주당 공천룰, ‘물갈이 혁명’으로"	정치>국회_정당	 정치>행정_자치					공직자		"민주당,OECD,더불어민주당,경제협력개발기구,국회,물갈이"	"현역,기득권,민주당,공천룰,물갈이,혁명,더불어민주당,3일,최고위원회의,내년,총선,현역,의원,기득권,여성,청년,신인,참여,확대,공천,규칙,의결,공천,규칙,현역,의원,출마,경선,전원,한편,특별,사정,전략,공천,여성,정치참여,기회,확대,공천심사,공천심사,여성,지원자,가산점,최고,25%,상향,조정,청년,장애인,가산,범위,10~25%,현행,10~20%,정치,신인,10~20%,가산점,부여,신설,선거,국회의원,1년,상황,민주당,공천룰,마련,공천,혁신,채비,평가,국회,여성,비율,청년,의원,선진국,기준,인구,1827만,인구,35.2%,차지,국회의원,45세,10명,3%,의원,2명,20대,감안,청년,대표,사실상,연령,의원,평균,역대,국회,의원,국가,수반,외국,풍토,거리,일자리,청년층,의견,반영,미래,정치인,양성,청년,대표,비율,국회,비율,여성,국회의원,역대,17%,기록,경제협력개발기구,OECD,국가,평균,27.8%,할당,여성,공천,30%,의무,실천,본격적,대표성,양성평등,물갈이,현역,의원,공천,개혁,절대,조건,신인,등용,정치,분위기,쇄신,선출직,공직자,평가,결과,하위,20%,감점,현역,의원,신인,공정,경쟁,정치,개혁,결국,인물,개혁,정당,공천,개혁,공천,규칙,마련,출발,민주당,이달,당원,투표,공천룰,추인,민주당,공천룰,마련,시민들,열망,정치,개혁,공천,혁명,정당들,개혁,공천,규칙,마련"	"국회의원,민주당,공천룰,20대,가산점,공천심사,기득권,일자리,선출직,지원자,2명,경제협력개발기구"	"더불어민주당이 3일 최고위원회의를 열어 내년 총선에서 현역 의원의 기득권을 줄이고 여성과 청년, 신인 등의 참여를 확대하는 내용의 공천 규칙을 의결했다. 새 공천 규칙은 현역 의원이 출마하는 경우 전원 경선을 거치도록 하는 한편, 특별한 사정이 없으면 전략 공천은 하지 않도록 했다. 또 여성의 정치참여 기회를 확대하기 위해 공천심사 때 여성 지원자에게 .."	http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201905032040005&code=990101	
01100611.20190503150314001	20190503	서울신문	이종락	"[사설] 민주당, 개혁공천으로 낡은 정치 바꿔야"	정치>국회_정당	 정치>행정_자치							"민주당,보궐선거,더불어민주당"	"민주당,개혁공천,정치,더불어민주당,내년,4월,총선,현역,의원,기득권,정치,소외,계층,참여,확대,골자,공천룰,확정,공개,민주당,여성,기회,정치,참여,확대,공천심사,가산점,공천심사,최고,25%,상향,청년,장애인,특별,공로,사람,공천심사,가산,범위,20%,현행,최대,20%,25%,5%포인트,정치,신인,공천심사,20%,범위,가산점,규정,신설,공직자,선출직,중도,사퇴,보궐선거,야기,감산점,경선,감산,10%,30%,강화,현역,자치단체장,총선,출마,발생,행정,공백,최소화,보궐선거,낭비,자치단체,예산,실추,이미지,방지,조치,현역,국회의원,전원,경선,전략공천,최소화,민주당,권리당원,50%,안심번호,50%,선거인단,구성,국민참여방식,경선,특별,당규,형식,공천룰,이달,전당원,투표,최종,확정,예정,민주당,총선,1년,공천룰,작업,확정,전례,예전,당내,분란,야기,구태,주먹구구식,밀실공천,반복,의지,현역,의원,기득권,전략공천,최소화,자치단체장,출마,중도,사퇴,원천,봉쇄,민주당,공천룰,평가,민주당내,다선,의원들,존재감,입법활동,비판,선수,選數,기준,일률적,의정생활,중진,의원들,공천과정,민주당,총선,내년,4월,국정,동반자,제1당,국민,전폭적,지지,개혁,공천"	"민주당,공천심사,공천룰,의원들,가산점,보궐선거,자치단체장,선출직,자치단체,최소화,전략공천,기득권,選數,의정생활,입법활동,밀실공천,주먹구구식,선거인단,동반자"	"더불어민주당이 어제 내년 4월 총선에서 현역 의원의 기득권을 내려놓고 ‘정치 소외계층’의 참여를 확대하는 내용을 골자로 하는 공천룰을 확정해 공개했다. 민주당은 여성의 정치 참여 기회를 확대하기 위해 공천심사 때 가산점을 최고 25%로 상향했다. 또한 청년과 장애인, 당에 특별한 공로가 있는 사람에 대해서도 공천심사 때의 가산 범위를 현행 최대 20%에.."	http://www.seoul.co.kr/news/newsView.php?id=20190503500134	
01500601.20190425063018001	20190425	매일신문	매일신문	"[사설] 오신환 사보임 허가한 문희상, 민주당 소속 국회의장인가"	정치>국회_정당	 정치>행정_자치					"김,김관영,문희상,오,채이배,문,김현아,정세균,오신환"		"바른미래당,민주당,자유한국당,사보임,더불어민주당,지도부,사법개혁특별위원회,국회 사무처,교섭단,국회,국토교통위"	"허가,오신환,사보임,문희상,국회의장,민주당,소속,국회,의장,문희상,국회의장,간사,국회,사법,개혁,특별,위원회,바른미래당,오신환,의원,사보,병상,病床,결재,이날,원내대표,바른미래당,김관영,의원,채이배,의원,교체,사보임,신청서,팩스,국회,의안과,제출,의사국장,국회,사무처,팩스,신청서,의장,입원,병원,대면,보고,광경,팩스,사보,신청,위반,규정,정상적,사보임,반대,바른미래당,의원들,국회,의안과,팩스,신청,만큼,화급,사안,선거법,공수처법,패스트,트랙,추진,더불어민주당,바른미래당,의원들,패스트,트랙,찬성,화급,의장,병상,결재,국회법,임시회,회기,질병,사유,이외,위원,교체,규정,국회법,준수,국회의장,국회법,교섭단체,원내대표,소속,의원,사보임,신청,불허,전례,해석,국회법,관례,당사자,반대,사보,강행,관례,지도부,자유한국당,김현아,의원,국토교통위,사보임,국회의장,정세균,국토위,임기,보장,의원,존중,사보,거절,관례,사태,의장,무소속,국회,의장,의문,소리,무소속,친정,민주당,사보임,허가,민주당,패스트,트랙,추진,걸림돌"	"사보임,바른미래당,국회법,국회의장,민주당,무소속,의원들,원내대표,오신환,문희상,자유한국당,정세균,공수처법,의안과,사무처,김관영,신청서"	"문희상 국회의장이 25일 국회 사법개혁특별위원회 바른미래당 간사인 오신환 의원의 사보임을 '병상(病床) 결재'했다. 이에 앞서 이날 오전 바른미래당 김관영 원내대표는 오 의원을 채이배 의원으로 교체하는 내용의 사보임 신청서를 팩스로 국회 의안과에 제출했다. 국회 사무처 의사국장은 팩스 신청서를 문 의장이 입원 중인 병원으로 가져가 대면 보고했다. 
 
.."	https://news.imaeil.com/Editorial/2019042518124139760	
