식별자	일자	언론사	기고자	제목	통합 분류1	통합 분류2	통합 분류3	사건/사고 분류1	사건/사고 분류2	사건/사고 분류3	인물	위치	기관	키워드	특성추출	본문	URL	분석제외 여부
01100611.20190418034310001	20190418	서울신문		"[사설] 한국당, 세월호와 5 18 막말 일벌백계해야"	정치>국회_정당	 정치>행정_자치					"이종명,차명진,김순례,안상수,전,정,정진석,황,황교안,김진태"		"윤리위원회,자유한국당,페이스북,한국당,내일,윤리위,황교안 대표 체제,희생자"	"한국당,세월호,5,대표,자유한국당,황교안,자당,소속,현직,의원,세월,막말,윤리위원회,응분,조치,대표,국민,사죄,말씀,대표,그제,유감,진심,사죄,말씀,입장문,차명진,의원,세월호,희생자,가족,비난,페이스북,자식,죽음,진짜,막말,의원,정진석,세월호,안상수,의원,아이들,댓글,의원,페이스북,상처,분들,진심,공개,사과,사과,대표,사과,진정성,징계,선결,한국당,윤리위원회,소집,의원,의원,징계,논의,일벌백계,의원,17,,경기,부천,소사,당협위원장,의원,내년,총선,겨냥,의도,가능성,제명,탈당,권유,내년,총선,공천,배제,조치,이참,윤리위원회,그동안,5,운동,모독,왜곡,발언,김진태,김순례,의원,징계안,매듭,한국당,의원,2월,이종명,제명,결정,의원,전당대회,출마,징계,논의,윤리위원장,사퇴,한국당,5,징계,꼼수,의심,대표,내년,총선,대다수,국민,지지,모습,체제,황교안,대표,도로,친박당"	"세월호,막말,한국당,윤리위원회,황교안,페이스북,일벌백계,대다수,분들,당협위원장,3인,이종명,자유한국당,정진석,꼼수,김진태,위원회,가능성,부천,윤리위원장,입장문"	"자유한국당 황교안 대표가 어제 자당 소속 전 현직 의원의 ‘세월호 막말’과 관련, “윤리위원회에서 응분의 조치를 취해주기를 바라고, 다시 한번 당 대표로서 국민 여러분께 사죄의 말씀을 드린다”고 말했다. 황 대표는 그제에는 “유감을 표하며 진심 어린 사죄의 말씀을 드린다”는 입장문을 냈다.
차명진 전 의원은 지난 15일 세월호 희생자 가족을 비난하며 페.."	http://www.seoul.co.kr/news/newsView.php?id=20190418031009	
01101101.20190417050645001	20190417	한국일보		"[사설] 5ㆍ18 이어 세월호 망언, 한국당 이러고도 집권 바라나"	미분류						"차명진,전,정진석,나경원,차,황교안"	"안산,인천"	"4ㆍ16재단,자유한국당,지도부,법무부,국민안전,한국당,윤리위,희생자"	"5ㆍ18,세월호,망언,한국당,집권,5주기,세월호,참사,5주기,국민,추모,기억,열기,자유한국당,인사들,세월호,유가족,망언,막장,정당,비난,자초,여야,정치권,안산,4ㆍ16재단,주관,기억식,세월,5주기,참석,한국당,지도부,인천,별도,추모제,일반인,희생자,뒷말,망언,홍역,한국당,세월,망언,개인,일탈,공당,간판,한국당,당협,위원장,차명진,의원,SNS,세월,유가족들,자식,죽음,세간,동병상련,진짜,비용,사회,눈물,개인,보상금,왜곡,제정신,아픔,슬픔,공감,전형적,사이코패스,행태,의원,세월호,유족,시민단체,18명,참사,책임자,장관,법무부,황교안,대표,포함,좌빨들,세뇌,자식,죽음,책임,죄의식,전가,마녀사냥,인격살인,공격,대표,격분,사과,진정,의심,가관,4선,중진,정진석,의원,가세,지인,메시지,애들,말들,원내대표,나경원,묵념,세월호,5주기,추모,그날,아픔,안전대책,황대표,국민안전,정치적,이용,얘기,보수진영,대표,지도부,제1,야당,정치언어,정도,수준,지도부,유체이탈식,관리,도처,기강,망언,윤리위,소집,재발,조치"	"세월호,한국당,5주기,지도부,눈물,법무부,일반인,나경원,희생자,애들,말들,책임자,제1,유가족들,기억식,정치권,마녀사냥,안산,4선,죄의식,이탈식,좌빨,사이코패스,인격살인,동병상련,좌빨들,황대표"	"세월호 참사 5주기를 맞아 국민적 추모와 기억 열기가 높은 가운데 자유한국당 일부 인사들이 세월호 유가족을 향해 ”징하게 해 처먹는다”는 등의 망언을 해 ‘막장 정당’이라는 비난을 자초하고 있다. 여야 정치권이 어제 안산에서 4ㆍ16재단 등이 주관한 ‘세월호 5주기 기억식’에 참석한 것과 달리, 한국당 지도부는 인천에서 별도로 열린 일반인 희생자 추모제.."	http://www.hankookilbo.com/news/npath/?did=KP	
01100201.20190417040340001	20190417	국민일보		[사설] 세월호 유족 모욕하고 국민 분노케 한 망언	정치>행정_자치	 정치>국회_정당					"차명진,전,정,정진석,나경원,차,황교안"		"자유한국당,페이스북,한국당,경기도"	"모욕,세월호,유족,국민,분노,망언,세월호,5주기,의원들,자유한국당,전현직,막말,자식,슬픔,정치,영역,갈등,음모,소재,전락,차명진,의원,페이스북,세월호,유가족들,정진석,의원,메시지,세월호,취중,말실수,생각,정리,글들,의원,자식,죽음,세간,동병상련,찜쪄,진짜,유가족들,비난,자식,가슴,부모들,비난,반인륜적,5년,10년,슬픔,진행형,자식,의원,세월호,유가족들,정치적,이용,세력,비난,세월호,사고,5년,진상,규명,구실,유족들,슬픔,분노,자극,정치적,이용,좌시,정치권,유가족들,의원,국회의원,17,,정치생활,국민,여론,파장,충분히,예상,경기도,부천,소사,당협,위원장,내년,총선,준비,보수표,세월호,의원,오산,세월호,정파,보수,진보,국민,공통적,슬픔,의원,비난,삭제,사과,전형적,사과,후회,대표,한국당,황교안,나경원,원내대표,유감,정도,차원,조치,솜방망이,처벌,중징계,물론,공천,내년,총선,반영"	"세월호,유가족들,경기도,한국당,황교안,전현직,자유한국당,국회의원,글들,솜방망이,원내대표,중징계,충분히,말실수,동병상련,나경원,찜쪄,당협,부천,위원장,부모들,의원들,유족들,공통적,정치권,차명진,보수표,반인륜적,막말,진행형"	"세월호 5주기에 자유한국당 전현직 의원들이 쏟아낸 막말은 자식을 잃은 슬픔마저 정치 영역으로 들어가면 갈등과 음모의 소재로 전락하는 것을 보여준다. 차명진 전 의원은 페이스북에 세월호 유가족들을 향해 “징하게 해 처먹는다”고 썼고, 정진석 의원은 누군가로부터 메시지로 받은 글이라며 “세월호 그만 좀 우려먹으라”는 내용을 올렸다. 취중에 한 말실수가 아니.."	http://news.kmib.co.kr/article/view.asp?arcid=0924073147&code=11171111	
01100801.20190417031902001	20190417	조선일보		"[사설] 세월호 참사 5년, 우리 사회 더 안전해졌나"	사회>사건_사고			사고>산업사고>붕괴	 사고>산업사고>화재	 사고>교통사고>해상사고		팽목항	"국정조사,특조위,희생자"	"5년,세월호,참사,5년,사회,안전,5주기,세월호,사고,5주기,사고,발생,팽목항,전국,희생자들,추모,행사,학생들,포함,304명,목숨,사고,사고,국민,가슴,한구석,마음,세월호,사고,사회,안전,경각심,정비,계기,5년,나라,안전,생각,국민,의문,안전,사고,세월호,3년,2011~2013년,88만,3년,2015~2017년,91만,해상,조난,사고,선박,3160척,사상,최다,기록,희생자,83명,세월호,사고,사고,96%,정비,불량,운항,부주의,인재,人災,세월호,대형,사고,사회,재난,요양병원,건물,다중,이용,화재,명씩,펜션,투숙,학생들,유독가스,질식,희생,고속철,전복,건물,붕괴,사고,고질적,증후군,정부,무능,대처,반복,하늘,바다,안전,아무것,대통령,탄핵,현장,세월호,방명록,대통령,진상,규명,책임자,처벌,세월호,불법,증축,평형수,부족,부실,화물,고정,운전,실수,침몰,사고,3년,검찰,조사,국정조사,특조위,조사,법원,재판,확인,사실,2기,특조위,조사,억지,의혹들,횡행,책임자,처벌,세월호,정치,이용,미련"	"세월호,학생들,책임자,명씩,특조위,人災,평형수,증후군,고속철,부주의,의혹들,희생자,희생자들,3160척,유독가스,2기,한구석,팽목항,국정조사,91만,요양병원,88만,방명록,경각심"	어제가 세월호 사고 5주기였다. 사고가 발생한 진도 팽목항을 비롯해 전국 곳곳에서 희생자들을 추모하는 행사가 열렸다. 어린 학생들을 포함해 304명의 꽃다운 목숨이 스러져간 사고였다. 사고 이후 짧지 않은 시간이 흘렀지만 많은 국민이 아직도 가슴 한구석에 안타까운 마음을 갖고 있다. 세월호 사고는 우리 사회 전체가 안전 문제에 대해 경각심을 갖고 시스템..	http://news.chosun.com/site/data/html_dir/2019/04/16/2019041603345.html?utm_source=bigkinds&utm_medium=original&utm_campaign=news	
01600501.20190417003045002	20190417	무등일보		사설(상) 세월호 책임자 처벌않고 치유 말할 수 없다	정치>청와대	 정치>외교					"박근혜,박,황교안,이주영,김기춘,우병우"	이나라	"법무부,해양수산부"	"사설,처벌,세월호,책임자,치유,세월호,유가족,운동,진상,규명,4월,연대,약속,국민,박근혜,대통령,황교안,법무부,장관,이주영,해양수산부,장관,김기춘,대통령,비서실장,우병우,민정수석,책임자,세월호,참사,지목,세월호,침몰,구조,가능,1시간,대기,지시,국민들,희생,규정,퇴선,지시,진상,규명,방해,구체,혐의,적시,책임,4,책임,참사,5년,사유,세월호,침몰,규명,실제,국민,학생들,포함,생명,바닷속,원인,박근혜,정부,세월호,금기사항,조직적,진상,은폐,왜곡,일들,그날,5년,진실,규명,발짝,책임자,처벌,목소리,정치,공방,세월호,참사,정쟁,정치권,행태,정도,생떼,자식,유가족들,절규,집권,방해물,그날,상처,치유,입밖,자들,큰소리,정의,자식,단식,부모들,피자,폭식투쟁,상식,대통령,구명조끼,발견,학생들,뱃속,상황,국민,이나라,대통령,거짓,타인,처절,고통,정략적,계산,자들,정상,치유,참사,책임자,지목,속죄,기회,촛불,탄생,정부"	"세월호,책임자,자들,학생들,박근혜,일들,국민들,폭식투쟁,처절,부모들,바닷속,정치권,생떼,유가족들,해양수산부,이주영,우병우,법무부,방해물,퇴선,비서실장,뱃속,황교안,구명조끼,김기춘,금기사항,민정수석"	"세월호 유가족과 진상 규명 운동을 벌이고 있는 ‘4월 16일의 약속 국민 연대’가 박근혜 전 대통령, 황교안 전 법무부 장관, 이주영 전 해양수산부 장관, 김기춘 전 대통령 비서실장, 우병우 전 민정수석 등을 세월호 참사 책임자로 지목했다. 이들은 세월호 침몰 당시, “구조가 가능했던 1시간 40분동안 대기하라고 지시해 무고한 국민들을 희생시킨 이들”이.."	http://www.honam.co.kr/news_view.php?n=581417&tmp=20190417&s=10	
01100101.20190416203209003	20190416	경향신문		[사설]인간이기를 포기한 한국당 인사들의 세월호 유족 모욕	사회>장애인						"차명진,안상수,전,정진석,황,황교안"	"안산,부천소사,서울,경기,진도,한국"	"자유한국당,애도,페이스북,한국당"	"인간,포기,한국당,인사들,모욕,세월호,유족,기억,영그,4월,16일,사랑,유족,참사,영문,사람들,선명,그날,서울,안산,진도,추모,애도,노란리본,물결,5년,다짐,약속,진실규명,외침,유족,생존자들,한국,사회,세월호,교훈,한편,5년,안전,이윤,생명,효율,중시,304명,목숨,국가,사회,피해자들,가혹,확인,4월,세월호,참사,유가족들,조롱,야만,공론장,참담,자유한국당,경기,부천소사,당협위원장,차명진,의원,페이스북,세월,유가족,자식,죽음,세간,동병상련,진짜,세월호,유가족,조롱,세월호,참사,일말,죄책감,피해자,고통,모욕,제압,대상,박근혜,정부,한국당,유전자,재현,세월호,참사,시체,팔이,죽음,굿판,짐승,언어,자식,부모들,가슴,대못,몰상식,폭언,참담,따름,차명진,패륜,생각,행동,국회의원,의원,한국당,정진석,16일,메시지,세월호,애들,페이스북,안상수,의원,아이들,짓들,댓글,그날,아픔,유가족들,인간,대표,한국당,황교안,별도,입장문,세월호,국민정서,의견표명,유감,세월호,유가족,국민들,대표,진심,사죄,말씀,모욕,세월호,유가족,조롱,인간,예의,만행,사회,수용,한계,대표,사과,진정성,당사자들,책임"	"세월호,한국당,유가족,유가족들,페이스북,피해자,참담,차명진,대못,짓들,자유한국당,당협위원장,황교안,애들,정진석,당사자,당사자들,진도,진실규명,안산,노란리본,진정성,사람들,의견표명,박근혜,몰상식,서울,동병상련,부천소사,굿판,부모들,죄책감"	"다시 아픈 ‘기억의 꽃’이 영그는 4월, 그 16일을 맞이했다. 사랑하는 이를 이유도 모른 채 떠나보낸 유족, 갑작스레 닥친 참사에 영문도 모르고 살아남은 사람들에게 삭이기는커녕 갈수록 선명해지는 그날이다. 올해도 서울과 안산, 진도 등에서 추모와 애도의 노란리본이 물결치고, ‘잊지 않겠습니다’라는 5년 전의 다짐과 약속을 되새겼다. ‘진실규명’의 외침.."	http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201904162029005&code=990101	
01500701.20190416192600001	20190416	부산일보		[사설] 절망 고통 아랑곳 않고 5주기에 터져 나온 세월호 막말	사회>사회일반	 지역>지역일반					"차명진,전,정진석,황교안"		"자유한국당,부산,부산대,희생자"	"절망,고통,아랑곳,5주기,세월호,막말,16일,4월,5주기,세월호,참사,5주기,부산,고교,세월호,5주기,추모,묵념,마련,전국,추모,행사,세월호,부산,대책,위원회,시민단체들,철저,진상,규명,책임자,처벌,촉구,성명,세월호,희생자,추모,열기,정면,막말,정치권,정쟁,비화,개탄,자유한국당,현직,의원들,5주기,세월호,참사,5주기,사회관계망서비스,SNS,세월호,유가족,비난,막말,차명진,의원,세월,유가족,자식,죽음,세간,동병상련,진짜,막말,의원,정진석,세월호,애들,물의,사회의,책임,자리,현직,국회의원들,세월호,막말,의심,지경,5주기,유가족,국민들,절망,고통,아랑곳,세월호,참사,정쟁,도구,몰염치,사회의,상처,갈등,분열,증오,조장,행태,국민적,분노,정치인들,세월호,막말,세월호,참사,사회,매듭,진행형,사실,대표,황교안,자유한국당,사태,세월,유가족,국민들,대표,진심,사죄,말씀,입장문,국민,수긍,응분,조치,차원,막말,재발,정치권,세월호,참사,진상,규명,책임자,처벌,박차"	"세월호,막말,5주기,자유한국당,유가족,사회의,부산,정치권,애들,황교안,정진석,진행형,시민단체들,사회관계,위원회,책임자,동병상련,몰염치,입장문,국회의원들,사회관계망서비스,국회의원,정치인들,국민들,의원들,차명진,희생자,sns,국민,추모"	어제 4월 16일은 세월호 참사 5주기를 맞은 날이었다. 부산의 초 중 고교 대부분에서 세월호 5주기 추모 묵념이 마련되는 등 전국 곳곳에서 추모 행사가 열렸다. 세월호 부산대책위원회를 비롯한 시민단체들은 철저한 진상 규명과 책임자 처벌을 촉구하는 성명을 잇따라 발표했다. 그런데 이런 세월호 희생자 추모 열기를 정면으로 거스르는 막말이 정치권에서 터져 ..	http://www.busan.com/view/busan/view.php?code=2019041618482157058	
01101101.20190416050620001	20190416	한국일보		"[사설] 세월호 참사 5주기, 아직도 요원한 진상규명과 안전사회"	사회>사회일반						박근혜	"팽목항,광화문,서울,진도,전남,경기 안산,목포신항"	"참사특별조사위원회,유튜브,약속,특조위,희생자,국민연대"	"5주기,세월호,참사,5주기,진상규명,안전사회,5주기,세월호,참사,5주기,팽목항,전남,진도,선체,안치,목포신항,등지,경기,안산,각종,추모행사,희생자,세월호,참사,추모,안전사회,염원,4월,약속,국민,연대,세월,참사,가족,협의회,서울,광화문,기억,공간,기자회견,세월호,참사,처벌,대상,1차,명단,수사,처벌,촉구,박근혜,대통령,정부,관계자,해경,상황실,5곳,기관,5곳,세월호,참사,처벌,정부,관계자,1명,해경,경정,1명,책임자들,수사,처벌,특별,수사단,설치,요구,국민,고소,고발인단,국민,운동,확산,참사,5년,세월호,진상규명,미흡,의혹,음모,사회적,참사특별조사위원회,활동,성과,상황,활동,6월,마무리,1기,특조위,조사,세월호,선체,제대로,침몰,원인,허비,유족들,세월호,상처,투쟁,근거,음모론,유족들,사회,지만원,지만원,클럽,대표,유튜브,북한,침몰,기획설,세월,자동,식별,장치,AIS,조작,방송인,김어준,음모론,세월호,참사,진상규명,5시간,문재인,늑장,대응,5시간,괴담,정치권,세월호,참사,비극,정치적,이용,버릇,세월호,사회의,망각,희생자,유족,관심,공감,희생자,유족,치유,중요,철저,진상규명,유족,생각,인내심,진상조사,사회의,도리,특조위,조사권,수사,기소권,한계,극복,최종,재난,안전,사회"	"세월호,진상규명,희생자,문재인,특조위,사회의,지만원,음모론,유족들,5주기,서울,광화문,안산,1명,관계자,진도,전남,5곳,안전사회"	"세월호 참사 5주기를 맞아 전남 진도 팽목항과 선체가 안치된 목포신항, 경기 안산 등지에서 각종 추모행사가 열리고 있다. 세월호 참사 희생자를 추모하고 안전사회를 염원하기 위함이다. 또 ‘4월 16일의 약속 국민연대’와 4ㆍ16 세월호참사가족협의회는 15일 서울 광화문 기억공간 앞에서 기자회견을 열고 세월호 참사 처벌 대상 1차 명단을 발표하고 이들에 .."	http://www.hankookilbo.com/news/npath/?did=KP	
01100611.20190416034258001	20190416	서울신문		"[사설] 세월호 5주기, 안전사회 구축 더 이상 늦출 수 없다"	사회>사회일반			사고>산업사고>화재	 재해>자연재해>지진		"박근혜,공직자"	"제주로,인천"	"단원고,이대목동병원,행정안전부,청와대,국민안전 체감도,밀양,해군,선체조사위원회,해양수산부,사회적 참사,KTX,특별조사위원회"	"세월호,5주기,안전,사회,구축,5주기,세월호,참사,5주기,5년,인천,5년,제주로,세월호,수학여행,단원고,고등학생,탑승자,침몰,304명,사망,실종,대형,참사,선내,방송,약속,구조,작업,정부,원인,세월호,침몰,화물,과적,무리,선체,증축,조타수,운전,미숙,세월호,참사,안전,규제완화,안전,사고,발생,단계,초동,대처,정부,무능,인재,나라,국가,개조,제기,배경,5년,세월,사회의,안전망,정부,해양수산부,관리,퇴직,기관,취업,정부,상대,로비,해피아,척결,공직자,재취업,규제,강화,안전,예산,해체,해경,문재인,정부,3년,부활,안전,강화,부응,4월,국민안전,지정,근본,변화,평가,정부,안전,제대로,작동,발생,안전사고,사건,이대목동병원,신생아,집단,사망,인재,지진,경북,포항,제천,밀양,화재,KTX,강릉선,탈선,사고,인재,사고들,행정안전부,조사,국민안전,체감,5점,만점,2.74점,1년,2017년,2.77점,작업,진상,규명,5주기,특별조사위원회,1기,세월호,선체조사위원회,번째,특별조사위원회,사회,참사,출범,해군,해경,의혹,CCTV,조작,증거,조작,은폐,가능성,제기,강제,수사권,난항,설치,세월호,특별,수사단,요구,청와대,국민,청원,12만,동의,도심,행사,세월호,추모,박근혜,대통령,석방,촉구,태극기,집회,사회,갈등,세월호,참사,교훈,국가,국민,생명,재산,보호,책무,다행,강원,산불,컨트롤타워,국가,재난,제대로,작동,대응력,정부,국민,불안,안전,사회,재난,발생,체계적,대응,정치권,진상규명,협조,갈등,사회,방치"	"세월호,5주기,특별조사위원회,국민안전,조타수,탑승자,청와대,이대목동병원,포항,해양수산부,경북,제대로,1기"	"오늘은 세월호 참사 5주기다. 5년 전 인천에서 제주로 가던 세월호에는 수학여행을 가는 단원고 고등학생 등 탑승자 476명이 타고 있었는데, 배가 침몰하면서 이 중 304명이 사망 실종된 대형 참사였다. 배가 가라앉는데도 선내에서는 “가만히 있으라”는 방송이 되풀이됐고 약속한 구조 작업은 이뤄지지 않았다. 정부는 세월호 침몰 원인으로 화물 과적, 무리한.."	http://www.seoul.co.kr/news/newsView.php?id=20190416031016	
02100101.20190416000251001	20190416	매일경제		"[사설] 세월호 5주년, 대한민국은 더 안전한 나라가 되었나"	사회>사회일반			사고>산업사고>화재			문재인	"안산,충북,구의역,제천스포츠센터 화재,진도,대한민국"	"단원고,이대목동병원,전남 장성요양병원,세종요양병원,KT,대한민국,KTX"	"세월호,5주년,대한민국,안전,나라,세월호,참사,번째,5년,304명,진도,앞바다,목숨,사회,거대,충격,비탄,참사,5주년,대한민국,안전,나라,세월호,참사,정부,국가개조,재난,안전,국가,약속,사회,고질,병폐,안전불감증,유령,배회,재난,방지,안전,대비,세월호,사고,2014년,버스터미널,경기,고양,버스,터미널,전남,장성요양병원,화재,사람,메르스,감염,확산,사망,구의역,승강장,정비,직원,인재,정권,2017년,이대목동병원,신생아,집단,사망,화재,충북,제천스포츠센터,포항,강진이,세종요양병원,화재,참사,강릉,펜션,발생,대형,사고,정부,정치권,안전,점검,규제,강화,책임자,처벌,법석,상황,사고,발생,위험,요소,사태,확산,선제,대응,사고,발생,땜질식,대책,상황,모면,자세,반복,여론조사,국민,51%,세월호,재난대응체계,문재인,대통령,신년기자회견,KTX,탈선,화재,KT,통신구,사건,열수,송관,파열,열거,국민,불안,안전,우선적,국가과제,대통령,지적,안전,부재,국민,불안,고통,나라,사고,방치,나라,정상적,국가,정부,안전,대한민국,대통령,각오,의지,고성,속초,산불,범정부,차원,총력,대응,뒷받침,재난,국민,치유,통합,세월호,침몰,각종,억측,논란,유족,상처,사회,갈등,반목,조장,무책임,정쟁,학생들,희생"	"세월호,무책임,단원고,고양,승강장,이대목동병원,통신구,구의역,메르스,제천스포츠센터,충북,강릉,대한민국,5주년"	"세월호 참사 후 다섯 번째 봄이 찾아왔다. 5년 전 안산 단원고 학생 등 304명이 진도 앞바다에서 생때같은 목숨을 잃으면서 우리 사회는 거대한 충격과 비탄에 잠겼다. 참사 5주년을 맞은 지금, 대한민국은 더 안전한 나라가 됐는가.
세월호 참사 이후 정부는 '국가개조'를 내걸고 ""재난 안전은 국가가 책임지겠다""고 약속했다. 하지만 사회 곳곳에는 고질적 .."	http://news.mk.co.kr/newsRead.php?year=2019&no=233728	
