식별자	일자	언론사	기고자	제목	통합 분류1	통합 분류2	통합 분류3	사건/사고 분류1	사건/사고 분류2	사건/사고 분류3	인물	위치	기관	키워드	특성추출	본문	URL	분석제외 여부
01100401.20190608030309002	20190608	동아일보		"[사설]최저임금, 업종별 지역별 차등적용 추진이 옳다"	국제>국제일반						"문재인,박준식"	"캐나다,프랑스,미국,일본,영국,네덜란드"	"IMF,한국,최저임금위원회,국제통화기금"	"최저임금,업종별,지역별,차등,적용,추진,최저임금위원회,5일,공청회,시작,본격적,활동,최저임금위,사회적,최저,임금,논란,공익위원,사퇴,지난달,11명,위원,위촉,재가동,최저임금법,위원회,이달,내년도,최저임금,결정,위원들,교체,사정,결정,공청회,노사,현격,의견차,확인,편의점업주,최저임금,3%,자영업자,사약,내년,동결,주장,대표들,노동계,대표,노동,강도,임금,아르바이트생,최저임금,원대,시간당,1만,원대,주장,위원회,10일,14일,공청회,계획,갈등,가능성,문재인,정부,최저임금,16.4%,10.9%,2년,29%,국제통화기금,IMF,인상,내년도,최저임금,노동생산성,증가율,조절,지적,정도,2000년대,연간,한국,임금,세계,수준,상태,시장,영향,문재인,대통령,대담,취임,2주년,2020년,1만,대선,공약,속도,인상,생각,조절,사회,공감대,형성,박준식,최저,임금,위원장,최저,임금,차등,적용,위원들,제기,검토,일본,미국,캐나다,지역별,최저임금,네덜란드,영국,프랑스,연령별,최저임금,나라,사정,제도,채택,지역별,업종별,규모,사정,노사공익,구성,27명,위원,협상,최저임금,결정,의문,나라,경제,사회,최저임금,결정,방식,1986년,최저임금법,최저임금,결정,방식,차등적용,제도,전반,근본적,재검토"	"최저임금,지역별,공청회,차등적용,1만,업종별,문재인,내년도,위원회,위원들,노동계,자영업자,2주년,미국,박준식,재가동,최저임금법,프랑스,캐나다,공감대,영국,시간당,국제통화기금,편의점업주"	최저임금위원회가 5일 공청회를 시작으로 본격적인 활동에 들어갔다. 최저임금위는 사회적으로 거센 ‘최저임금 논란’을 불러일으켰던 기존 공익위원 등이 사퇴하고 지난달 말 11명의 새로운 위원을 위촉해 재가동했다. 최저임금법에 따르면 위원회는 이달 27일까지 내년도 최저임금을 결정해야 하지만 위원들이 대거 교체되는 등의 사정으로 다음 달에야 결정될 수 있을 ..	http://news.donga.com/3/all/20190607/95891999/1	
01100801.20190531031836001	20190531	조선일보		"[사설] 국민은 다 아는데 이제야 ""최저임금 속도위반"""	사회>노동_복지								"중소기업연구원,OECD,청와대,한국노동연구원"	"국민,최저,임금,속도위반,인상,최저임금,과속,부작용,인정,목소리,청와대,정부,여당,약속,인상,최저,임금,급속,여기저기,고용,참사,사업장,고통,최저임금,부작용,뒷북,청와대,경제수석,내년도,최저임금,수준,합리적,선출,신임,최저,임금,위원장,최저,임금,속도,공감대,사회,국책,기관들,가세,시작,엊그제,한국노동연구원,중소기업연구원,공동,개최,토론회,최저임금,10%,인상,노동시장,고용,규모,0.65,0.79%,정도,청년,노년,사업장,5인,미만,경제,약자,고용,감소,발생,그동안,정부,국책,기관들,얘기,국민,대선,최저임금,1만,공약,침묵,최저임금,소상공인,청년들,일자리,최저임금,2년,30%,가까이,경제,감당,국제,기관,경고,최저임금,부작용,인정,심의,기한,내년도,최저임금,심의,감당,속내,우리나라,국민소득,대비,최저임금,수준,OECD,회원국,상위권,주휴수당,포함,1위,최저임금,인상,억제,정부,최대,권력,노조,동의,의문"	"최저임금,사업장,청와대,내년도,부작용,회원국,공감대,소상공인,국민소득,5인,기관들,1위,1만,노동시장,속도위반,한국노동연구원,주휴수당,중소기업연구원,상위권,우리나라,그동안,oecd,청년들,경제수석,토론회"	"최저임금 과속 인상의 부작용을 인정하는 목소리가 청와대 정부 여당에서 약속이라도 한 듯 일제히 쏟아져 나오고 있다. 이미 '최저임금 급속 인상'이 여기저기서 돌이키기 힘든 고용 참사를 불렀고 지금도 사업장 곳곳에서 고통을 겪고 있는데 이제 와서 최저임금 부작용을 말하니 이런 뒷북이 없다. 이번 주 초 청와대 경제수석은 ""(내년도) 최저임금 수준을 합리적.."	http://news.chosun.com/site/data/html_dir/2019/05/30/2019053003790.html?utm_source=bigkinds&utm_medium=original&utm_campaign=news	
02100101.20190531000312002	20190531	매일경제		"[사설] 최저임금위, 2년간 29% 인상 부작용부터 돌아보라"	사회>사회일반						박준식	한국	"소상공인연합회,통계청,한림대,고용노동부,최저임금위원회"	"최저임금위,2년,부작용,29%,인상,최저임금위원회,전원회의,최저임금,심의,내년도,최저임금,고시,기한,8월,5일,7월,중순,경영계,노동계,주장,극명,양쪽,만족,합의점,교수,박준식,한림대,신임,위원장,위촉,공익,위원,8명,사용자,위원,2명,교체,진용,만큼,국민,납득,문재인정부,2년,최저임금,29%,자릿수,인상,과거,상승,결과,예상,부작용,도소매업,음식,숙박업,취약,업종,일자리,감소,대표적,최저임금,감당,자영업자들,직원,현상,소상공인연합회,29일,최저임금,최저,임금,소상공인,실태,조사,소상공인,58.9%,최저임금,인상,직원,응답,정부,현실,고용노동부,11월,지난달,최저임금,영향,사업체,대응,실태,조사,근로시간,단축,고용,결국,저임금,근로자,수입,취지,최저임금,인상,현장,소득,감소,결과,초래,소득,평등,통계청,소득,하위,소득격차,균등,처분,가능,소득,5분위,배율,1분기,사상,최대치,기록,1년,의미,수준,개선,1분기,성장률,0.3%,금융위기,최저치,기록,원인,여파,최저임금,인상,경제,활력,박준식,위원장,회의,브리핑,2년,사회,공감대,최저임금,논의,대목,최저임금,부작용,한국,경제,고용시장,감당,해법"	"최저임금,소상공인,부작용,박준식,2명,위원장,8명,한림대,공감대,내년도,노동계,경영계,만큼,숙박업,고용노동부,저임금,근로자"	최저임금위원회가 어제 전원회의를 열고 최저임금 심의에 들어갔다. 내년도 최저임금 고시 기한이 8월 5일이라 7월 중순까지는 결론을 내야 하는데 경영계와 노동계 주장이 극명하게 엇갈리고 있어 양쪽 모두 만족할 만한 합의점을 찾기는 쉽지 않을 것이다. 하지만 박준식 한림대 교수가 신임 위원장으로 위촉되는 등 공익위원 8명과 사용자위원 2명이 교체되며 새로 ..	http://news.mk.co.kr/newsRead.php?year=2019&no=368421	
07100501.20190530152410001	20190530	전자신문	강병준	"[사설]최저임금, 이번에는 달라야 한다"	사회>사회일반	 정치>외교					"문재인,박,박준식,이재갑"		"전국민주노동조합총연맹,정책기획위원회,한림대,고용노동부,KBS,최저임금위원회"	"최저임금,최저임금위원회,전원회의,심의,내년도,최저임금,위원회,신임,위원장,박준식,한림대,사회학,교수,선출,교수,대통령,직속,정책기획위원회,포용,사회,분과,위원장,신임,위원장,위원장,공익위원,사회,도움,방향,결과,최선,노?사,적극,소통,소감,위원회,근로자,생계비,유사,근로자,임금,노동생산성,소득분배율,27일,내년도,최저임금,결정,대립,노?사,의견,감안,7월,중순께,예상,내년도,최저임금,최저임금,공감대,부작용,2년,자영업자?소상공인,어려움,경기,상황,예상,파장,감안,현실적,임금인상안,정부,여당,조절,목소리,문재인,대통령,KBS,대담,2년,인상,긍정적,측면,부담,장관,이재갑,고용노동부,중소기업인,자리,합리적,최저임금,심의,최선,지원,강조,최저임금,2018년,16.4%,10.9%,정부,기조,감안,조정,노동계,이날,전원,회의,전국민주노동조합총연맹,조절,최저,임금,속도,정부,대응,사실상,강경,선언,노동계,양보,최저임금,협의,파행,노동계,임금,기조,현실,감안,이해,집단,목소리,앵무새,반복,해법,타협,협의,인상,부작용,최소화,국가,경제,기여,합의점"	"최저임금,노동계,노?사,위원장,내년도,부작용,전원회의,근로자,위원회,이재갑,중소기업인,고용노동부,정책기획위원회,한림대,사실상,박준식,상공인,자영업자,소득분배율,앵무새,최소화,자영업자?소상공인"	최저임금위원회가 30일 전원회의를 열고 내년도 최저임금 심의에 들어갔다. 이보다 앞서 위원회는 신임 위원장으로 박준식 한림대 사회학과 교수를 선출했다. 박 교수는 대통령 직속 정책기획위원회 포용사회분과위원장직을 맡고 있다. 박 신임 위원장은 “위원장이자 공익위원 가운데 한 명으로서 우리 사회에 도움이 되는 방향으로 결과가 나올 수 있도록 최선을 다하겠다..	http://www.etnews.com/20190530000355	
01100801.20190523032034001	20190523	조선일보		[사설] '최저임금' 부작용 인정하는 데 1년 5개월 걸렸다	사회>노동_복지	 정치>정치일반					문재인	한국	"IMF,OECD,청와대,고용부,고용노동부,경제협력개발기구,국제통화기금"	"최저임금,부작용,인정,5개월,1년,5개월,최저임금,인상,소매,음식,숙박업,제조업,자동차,부품,고용,악영향,사실,고용노동부,공식,인정,고용부,용역,학회,결과,심층,조사,종업원,영업시간,단축,확인,국민,상식,확인,1년,5개월,고집,현실,회피,보고서,인상,최저임금,급속,시작,전문가,언론,현장,고용주들,것들,일자리,생태계,부작용,확인,일자리,사람들,억장,그동안,정부,고용,악화,최저임금,입장,고수,손바닥,하늘,재작년,연간,일자리,증가,최저임금,16.4%,9만,급감,정책,당국자,최저,임금,인상,고용,감소,청와대,정책,실장,최저,임금,인상,실업률,증가,주장,동의,고용,장관,4월,일자리,17만,정도,수석,청와대,일자리,획기적,변화,사실,호도,수치,휴지,장난감,소독,일자리,단기,알바,결과,국민,생산성,괴리,무리,임금,인상,고용,악화,경제,상식,얼마,국제통화기금,IMF,조사,단장,최저임금,2년,30%,인상,경제,감당,한국,경제,성장률,전망치,2.6%,2.4%,경제협력개발기구,OECD,최저,임금,인상,저숙련,노동자,일자리,증가세,둔화,외국인,사실,정부,인정,결국,소득,주도,성장,성역,쇼크,1분기,성장률,0.3%,문재인,대통령,총체적,경제,성공,이념,가상현실,정부,성역,정책들,가지,원전,52시간,비정규직,정규직화,부작용,무시,차원,정권,정책들,기업들,경쟁력,저하,산업,생태계,만회,불가능,부작용,발생,현실,인정,고통,국민,2년,예산,낭비,일자리,대책,국민,거액,세금,청구서,결과"	"일자리,최저임금,부작용,청와대,성장률,보고서,정책들,고용부,생태계,한국,5개월,자동차,저숙련,외국인,9만,가상현실,전망치"	"최저임금 인상이 도 소매, 음식 숙박업, 자동차 부품 제조업 등의 고용에 악영향을 미쳤다는 사실을 고용노동부가 처음으로 공식 인정했다. 고용부 용역을 받은 학회의 심층 조사 결과, 종업원을 줄이거나 영업시간을 단축한 것이 확인됐다는 것이다. 국민이 다 아는 뻔한 상식을 확인하는 데 무려 1년 5개월이 걸렸다. 고집이 아니라 현실 회피다. 보고서 내용은 .."	http://news.chosun.com/site/data/html_dir/2019/05/22/2019052203664.html?utm_source=bigkinds&utm_medium=original&utm_campaign=news	
01100901.20190523001003001	20190523	중앙일보		[사설] “최저임금은 죄가 있다” 경제성장률 줄줄이 하향 조정	경제>국제경제						"문재인,정원석,송영길,박영선"	한국	"소상공인연합회,IMF,더불어민주당,고용노동부,중소벤처기업부,한국,페이스북,KDI,무디스,노무라증권,OECD,민주노총,한국은행,LG경제연구원,ING그룹,캐피털이코노믹스"	"최저임금,경제성장률,하향,조정,하향,조정,KDI,경제성장률,전망치,2.6%,2.4%,비보,하루,OECD,하루,2.6%,전망,2.4%,시장,반응,조정,성장률,하향,면역,만큼,성장률,한국은행,LG경제연구원,예상치,ING그룹,1.5%,캐피털이코노믹스,1.8%,1%대,제시,하향,조정,이구동성,수출,감소,예상,최저임금,인상,부작용,2년,29%,최저임금,한국,경제,비명,고용,참사,소비,위축,빈부격차,최저,임금,인상,긍정,효과,90%,문재인,대통령,진단,딴판,최저임금,부작용,고용노동부,조사,확인,소매,음식,숙박업,최저임금,고용,근로시간,정부,공식,최저임금,1%,일자리,1만,통계,최저임금,2년,30만,일자리,증발,얘기,영세,상인들,아우성,두말,나위,엊그제,더불어민주당,개최,정책토론회,전문위원,소상공인연합회,정원석,최저임금,생각,다행,정부,여권,최저임금,속도,조절,대통령,대담,취임,2주년,공약,2020년,최저임금,1만,속도,인상,사회,경제,정도,수용,적정선,결정,장관,박영선,중소벤처기업부,동결,수준,여당,중진,송영길,의원,내년,최저임금,동결,생각,페이스북,IMF,상승,내년도,최저임금,노동생산성,증가,3~4%,설정,권고,최저임금,인상,자제,국민,공감대,분위기,민주노총,노동계,1만,공약,이행,주장,민주노총,투쟁,전국,순회,액셀러레이터,과속,최저임금,인상,한국,경제,성장,엔진,연기,브레이크,시점,내년,최저임금,동결,수준,3년,상승률,30%,인상률,한국,최저임금,중위임금,60%,수준,세계,최고,비율,60%,기업,인력,채용,설비,자동화,투자,가능성,월스트리트저널,최저임금,과속,인상,자영업,기업,고용,의미,한국,경제,회복,타격"	"최저임금,1만,성장률,일자리,한국,민주노총,경제성장률,부작용,공감대,박영선,소상공인연합회,노동생산성,중소벤처기업부,만큼,2주년,내년도,정원석,예상치"	줄줄이 하향 조정이다. 어제 KDI는 올해 경제성장률 전망치를 2.6%에서 2.4%로 낮췄다. 이틀째 이어진 비보다. 하루 전 OECD도 2.6% 전망을 2.4%로 내렸다. 그래도 시장 반응은 무덤덤하다. 성장률 하향 조정에 면역이라도 생긴 듯하다. 실제로 그럴 만큼 국내외에서 성장률 낮추기가 쏟아졌다. 한국은행 LG경제연구원 무디스 노무라증권 바클레이..	https://news.joins.com/article/olink/23068889	
01100701.20190522001411001	20190522	세계일보		[사설] 정부 “최저임금 탓에 고용 감소” 정책기조 손볼 때다	사회>노동_복지	 경제>취업_창업	 경제>무역				"문재인,김광두"	"중,미"	"국가미래연구원,IMF,국민경제자문회의,고용노동부,국제통화기금"	"정부,최저,임금,고용,감소,정책기조,최저임금,인상,고용,감소,초래,정부,인정,고용노동부,최저임금,영향,토론회,공개,최저,임금,현장,실태,파악,결과,최저임금,인상,소매업,음식,숙박업,다수,기업,경영,악화,고용,감소,중소제조업,기업,고용,감소,증가,업종,최저임금,인상,노동자,노동자,임금,격차,주장,문제점,최저임금,인상,중소기업,소상공인,경영난,폐업,경제,불황,최대,요인,지목,만큼,정부,구체적,조사,수치,공식,토론회,연구용역,경영학자,주장,뜬구름,결과,공개,납득,고용,한파,시작,2월,1년,3개월,결과,업종,고용,감소,최저임금,30%,가까이,충격,초래,고용대란,통계,4월,고용,실업자,청년,실업률,19년,취업자,30,,27만,감소,19개월,제조업,취업자,5만,13개월,감소,행진,국제통화기금,IMF,최저,임금,인상폭,노동생산성,증가,4%,권고,경제위기론,제기,시작,문재인정부,국민,경제,자문회,부의장,김광두,국가,미래연구원장,경기동,행지수,순환,변동,5월,하한,5개년,표준편차,경제,위기,가능성,경계,수출,반도체,불황,무역갈등,영향,5월,20일,기간,11.7%,감소,상황,소득,주도성장,구호,최저임금,인상,기업,경쟁력,소상공인,생계수단,수출,경쟁력,회복,일자리,정부,인상,내년,최저임금,최소화,정부,경제,실상,소득,주도,성장,정책,전면적,정부,입맛,실태조사,결과,가공,위기"	"최저임금,토론회,취업자,소상공인,가능성,경쟁력,제조업,노동자,인상폭,김광두,문재인정부,표준편차,5개년,노동생산성,5만,정책기조,국제통화기금"	"최저임금 인상이 고용 감소를 초래했음을 정부가 처음으로 인정했다. 고용노동부가 어제 최저임금 영향분석 토론회에서 공개한 ‘최저임금 현장 실태파악 결과’에 따르면 최저임금 인상이 도 소매업, 음식 숙박업 등에 속하는 다수 기업의 경영을 악화시키고 고용을 감소시켰다고 한다. 중소제조업과 일부 기업에서도 고용 감소가 있었지만 오히려 증가한 업종도 있다고 했다.."	http://www.segye.com/content/html/2019/05/21/20190521513982.html	
07100501.20190521134226001	20190521	전자신문		[사설]최저임금 인상 속도 조절해야	사회>노동_복지						문재인		청와대	"최저임금,인상,속도,조절,일자리,창출,정부,최우선,국정,일자리,최고,복지,캐치,프레이즈,초기,정권,출범,청와대,일자리,상황판,마련,결과,공무원,공공,직장,공공,제외,지속,가능,일자리,증가,사상,최고치,경신,청년,실업률,해결,민간,일자리,창출,우려감,해소,카드,최저임금,인상,과녁,일자리,감소,정부,인상,최저임금,도소매업,고용,감소,공식,인정,집권,3년,최저임금,인상,고용,감소,원인,작용,최저임금,인상,인건비,부담,도소매업?음식숙박업,사업주,고용,방식,대응,다수,기업,고용,감소,근로시간,모습,손님,시간대,영업시간,단축,편의점,시간,영업,대표,초단,시간,근로,확대,발견,초단,시간,근로,1주,근로시간,시간,미만,의무,주휴,수당,지급,자유,경제,정책,환율,대외,환경,위축,내수,시장,예사,임금,인상,소득,주도,성장,정책,한계,부분적,보완책,임금소득,제로,근로자,폐업,실질소득,자영업자,맞춤형,대책,요구,최저임금,속도,조절,사회,지혜,문재인,대통령,얼마,얼마,1만,인상,공약,수정,의사,피력,경제,현실,국민,연결,이상주의,예상,결과,부합,처방"	"일자리,최저임금,근로시간,도소매업,최우선,1만,경신,최고치,영업시간,편의점,이상주의,근로자,실질소득,보완책,맞춤형,시간대"	일자리 창출은 현 정부의 최우선 국정 과제다. 일자리는 최고 복지라는 캐치 프레이즈도 내걸었다. 정권 출범 초기에 청와대에는 일자리 상황판도 마련됐다. 결과는 어떤가. 공무원과 공공 부문 직장을 제외하고 지속 가능한 일자리가 증가했는가. 사상 최고치를 경신한 청년 실업률도 해결 과제로 떠올랐다. 민간 부문의 일자리 창출에 대한 우려감은 해소되지 않는다...	http://www.etnews.com/20190521000172	
02100601.20190515001520001	20190515	한국경제		"[사설] '위헌' 심판대 오른 주52시간 최저임금, 제대로 검증 받아야"	사회>노동_복지			범죄>기업범죄>거래제한				한반도	"헌법재판소,헌법소원"	"위헌,심판대,주52시간,최저임금,제대로,검증,문재인,정부,소득,주도,성장,정책,핵심,최저임금,인상,시간,근로,제도,위헌,심판대,변호사단체,보수,성향,변호사,단체,한반도,인권,통일,변호사모임,한변,14일,조항,위헌,여부,헌법재판소,헌법소원,제기,조항,최저임금법,규정,근로,기준,형사처벌,최저임금법,28조,최저임금액,임금,지급,3년,징역,2000만,벌금,근로기준법,110조,근로,제한,2년,징역,2000만,벌금,부과,규정,최저임금,근로시간,위반,징역형,처벌,세계적,유례,지적,2년,최저임금,29.1%,인상,영세,자영업자,소상공인들,경영,어려움,지급능력,사업자들,졸지,범법자,전락,처지,최저임금,인상,52시간,강행,소상공인,자영업자들,헌법상,권리,계약,자유,근로,권리,생존권,신체,자유,재산권,침해,지적,국가,일방적,최저임금,미지급,형사,처벌,사적,계약,개입,위헌,52시간,시행,자유,논쟁,헌법,국민,근로,권리,명시,정부,근로시간,적용,근로자,자유,박탈,호소,보완책,근로시간,규제,사업주,형사,처벌,위헌적,처사,한변,설명,헌법재판소,최저임금,52시간,조항,헌법상,기본권,침해,치열,검증,정부,소상공인,자영업자들,주장,최저임금,속도조절,52시간,실질적,보완책,검토,정부,정책,실패,선량,자영업자,소상공인,범법자"	"최저임금,근로시간,소상공인,변호사,자영업자,한변,보완책,헌법재판소,헌법상,형사처벌,범법자,심판대,자영업자들,문재인,최저임금법,사업자,사업자들,변호사모임,지급능력,소상공인들,사업주,2000만,변호사단체,징역형,헌법소원,생존권,근로자"	"문재인 정부 소득주도성장 정책의 핵심인 가파른 최저임금 인상과 주 52시간 근로제도가 위헌 심판대에 올랐다. 보수 성향 변호사단체인 ‘한반도 인권과 통일을 위한 변호사모임(한변)’이 지난 14일 관련 법 조항의 위헌 여부를 가려달라며 헌법재판소에 헌법소원을 제기했기 때문이다. 
 
문제가 된 조항은 최저임금법과 근로기준법상 형사처벌 규정이다. 최저임금법.."	https://www.hankyung.com/article/2019051596541	
02100311.20190514184116001	20190514	서울경제		[사설] ‘최저임금-생산성 연동하라’는 IMF 지적 새겨들어야	경제>취업_창업							한국	"기재부,IMF,OECD,기획재정부,경제협력개발기구,한국생산성본부,한국은행,한국,국제통화기금,금융위원회"	"최저임금,생산성,연동,IMF,지적,국제통화기금,IMF,최저,임금,인상,노동생산성,증가,연동,중소기업,보상,보조금,단계적,한국,권고,IMF,2월,3월,기획재정부,한국은행,금융위원회,관계자,논의,자료,바탕,연례협,결과,보고서,작성,13일,현지시간,공개,최종,보고서,IMF,상승률,내년도,최저임금,노동생산성,증가율,설정,적시,방문,3월,연례,협의단,방문,기재부,자료,언급,대안,제시,주목,기재부,IMF,완화,노동시장,경직성,속도,최저임금,인상,경제협력개발기구,OECD,한국,노동생산성,32.9달러,시간당,달러,달러,4.3%,한국생산성본부,동향,노동생산성,산업,노동생산성,전년,대비,3.6%,상승,2017년,3.3%,3%대,상승률,최저임금,7.3%,16.4%,10.9%,최저임금,상승률,노동생산성,증가율,노동생산성,사실상,제자리,공약,최저임금,결과,고용참사,취업자,출범,문재인,정부,30만,40만,2년,정부,출범,2년,9만,000명,증가,2월,3월,취업자,증가폭,20만,정부,재정,노인들,단기,일자리,사회,허리,30~40대,일자리,최저임금,인상,부작용,사태,IMF,지적,최저임금,철저,생산성,연계,결정,2년,인상,감안,내년도,최저임금,동결"	"최저임금,노동생산성,imf,기재부,한국,일자리,생산성,취업자,보고서,내년도,상승률,시간당,9만,노동시장,경직성,문재인,기획재정부,한국은행,금융위원회,위원회,보조금"	국제통화기금(IMF)이 “최저임금 인상을 노동생산성 증가와 연동시키고 중소기업에 대한 보상 보조금을 단계적으로 줄이라”고 한국에 권고했다. IMF는 2월 말부터 3월 초까지 기획재정부와 한국은행 금융위원회 관계자 등과 논의한 자료를 바탕으로 연례협의 결과 보고서를 작성한 뒤 13일(현지시간) 공개했다. 최종 보고서에서 IMF는 내년도 최저임금 상승률이 ..	http://www.sedaily.com/NewsView/1VJ512TMO0	
