식별자	일자	언론사	기고자	제목	통합 분류1	통합 분류2	통합 분류3	사건/사고 분류1	사건/사고 분류2	사건/사고 분류3	인물	위치	기관	키워드	특성추출	본문	URL	분석제외 여부
01100101.20190613204701001	20190613	경향신문		[사설]‘추경 국회’ 외면한 채 추경토론회만 연 한국당	정치>국회_정당	 정치>행정_자치					"나경원,오신환"		"바른미래당,추경토론회,청와대,추경 국회,자유한국당,토론회,집권여당,국회,한국당"	"추경,국회,외면,추경,한국당,국회,정상화,여야,협상,여야,난항,최대,난관,처리,패스트트랙,법안,절충점,합의문,단계,협상,자유한국당,추가경정예산,필요성,청문회,주장,한국당,13일,논리,국회,재해,긴급토론회,건전,재정,추경,긴급,토론회,민생,성사,합의,국회,정상화,제1야당,처사,말문,원내대표,나경원,한국당,경제청문회,수용,청와대,집권여당,정책,집행자,자격,자인,모순,정부,경제,운용,야당,책임,정부,협조,여당,비판,한국당,정부,경제정책,제동,경제,추경,논의,거부,민생,국회,추경,경제청문회,한국당,청문회,요구,속셈,청문회,문재인,정부,경제정책,비판,명분,등원,한국당,국회,외면,추경,거부,천하,국회,등원,압박,당내,장외투쟁,역풍,등원,명분,시민,우롱,원내대표,합의,국회,정상화,청와대,야당,조롱,압박,국회,한국당,등원,조건,명분,상황,국회,공전,실망,시민들,청원,한국당,해산,국회의원,소환,거론,한국당,시민들,불만,제1야당,정부,비판,책임,건강,여야관계,민주주의,중재,원내대표,오신환,바른미래당,주말,국회,단독소집,한국당,민생,외면,국회,민생,내년,총선,유권자들,자문,청와대,여당,야당,설득,노력"	"한국당,청문회,청와대,원내대표,정상화,제1야당,토론회,패스트트랙,국회의원,오신환,시민들,바른미래당,긴급토론회,나경원,경제정책,경제청문회,집행자,유권자들,합의문,유권자,절충점,추가경정예산,장외투쟁,자유한국당,민주주의,집권여당,여야관계,필요성,단독소집,청원,문재인"	국회를 정상화하기 위한 여야 간 협상이 다시 난항을 겪고 있다. 최대 난관인 패스트트랙 법안 처리에서 절충점을 찾아 합의문까지 쓰는 단계에서 협상이 틀어졌다. 자유한국당이 추가경정예산의 필요성을 따지기 위해 청문회를 열자고 주장했기 때문이다. 한국당은 13일 이런 논리를 내세우며 국회에서 ‘재해 및 건전재정 추경 긴급토론회’를 열었다. 민생이 어렵다고 ..	http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201906132045015&code=990101	
01101101.20190613050626002	20190613	한국일보		[사설] 전략 없이 국회 밖에서만 떠돌다 靑에 난타당한 한국당	정치>국회_정당	 정치>행정_자치	 정치>외교				"강기정,박지원"		"민주평화당,민주당,청와대,자유한국당,더불어민주당,지도부,국회,한국당"	"전략,국회,난타,한국당,청와대,국회의원,국민소환제,요구,국민청원,공감,표시,국회,완성,자유한국당,더불어민주당,해산,청구,청원,정당,의회정치,평가,답변,국회파행,방치,정치권,공격,이틀,연속,청원,답변,빌미,청와대,공세,실질,타깃,자유한국당,야당,한국당,운운,공직선거법,위반,협상,국회,정상화,고비,시점,청와대,강수,청와대,의원,소환제,청원,답변,대통령,자치단체장,의원,국회,주권자,국민,견제,방법,국민소환제,대의,민주주의,단점,보완,직접민주주,요소,주권자,요구,제도,주장,국민소환제,정치적,남용,위험,지적,주민소환제,경험,기우,의원들,자각,촉구,강기정,정무수석,183만,33만,참여,한국당,청원,민주당,해산,해산,청구,정부,권한,주권자,국민,내년,4월,선거,주권,행사,질책,청원,반영,청원,위헌,정당,해산,패스트,트랙,지정,국민,실망,거론,야당,책임,부각,합의,처리,합의,미세,문구,여야,상황,정무수석,발언,휘발유,의원,박지원,민주평화당,한국당,능사,청와대,공세적,작금,정국,파행,부담,정부,여당,불리,판단,흔적,의원들,원외투쟁,몰두,지도부,방침,반기,분열조짐,정부,여당,한국당,피로감,한국당,결단"	"한국당,청원,청와대,국민소환제,주권자,의원들,정무수석,자유한국당,정상화,박지원,공직선거법,국회의원,민주평화당,민주당,지도부,주민소환제,분열조짐,직접민주주,민주주의,민주주,자치단체장,원외투쟁,33만,강기정"	청와대가 어제 국회의원 국민소환제 도입을 요구하는 국민청원에 공감을 표시하며 “관련 법이 20대 국회에서 완성되기를 간절히 바란다”는 답을 내놓았다. 전날 자유한국당과 더불어민주당의 해산을 청구하는 청원에 대해 “우리 정당과 의회정치에 대한 준엄한 평가”라고 답변한데 이어 국회파행을 방치하는 정치권을 이틀 연속 공격한 것이다. 청원 답변을 빌미로 삼은 ..	http://www.hankookilbo.com/news/npath/?did=KP	
01500801.20190612083110003	20190612	영남일보	뉴미디어부기자 ynnews@yeongnam.com	"[사설] 한국당, 혁신과 정책대안 없이 수권정당 어렵다"	정치>국회_정당	 정치>행정_자치					"신상진,홍문종,신정치,황교안,홍,박지원"	"물갈이,대구경북"	"홍문종,민주평화당,자유한국당,태극기,물갈이,한국당,대구경북,경기도"	"한국당,혁신,정책대안,수권정당,의원,자유한국당,현역,물갈이론,파장,예사,친박계,중진,홍문종,의원,탈당,시사,의원,8일,서울,태극기,집회,의사,한국당,탈당,11일,라디오,프로그램,황교안,대표,정치,불만,비난,의원,한국당,공천,의미,탈당,태극기,부대,한국당,신상진,정치,혁신,특위,위원장,사태,대통령,탄핵,뿌리,총선,공천,후유증,현역,의원,물갈이,필요성,제기,홍문종,의원,탈당,가능성,정치권,친박,신당,현실화,관측,의원,민주평화당,박지원,홍문종,의원,탈당,시사,친박,신당,출범,신호,창당,친박,신당,공론화,정치권,한국당,공천,신당,출현,변수,친박계,인사들,낙천,신당,탄생,시나리오,신당,출범,정서,친박,상대적,대구경북,정치판,개연성,배제,친박,신당,출현,가능성,한국당,공천,물갈이,혁신,강도,신정치혁신특위,호언,현역,의원,대대,물갈이,실천,미지수,허언,虛言,전망,인적,쇄신,방증,당내,지분,의원,대구경북,중진,한국당,차례,개혁,시도,흠결,의원들,건재,인적,쇄신,용두사미,경험칙,상황,출현,친박,신당,쇄신,한국당,인적,결과,정치발전,내년,총선,표심,국민,심판,한국당,수권정당,환골탈태,수준,혁신,인적,쇄신,정책대안,정당,면모,중요,막말,정당,이미지,정책,여당,승부,정공법,정부,여당,경제,헛발질,반복,한국당,기회,김문수,경기도지사,야당,무기,성장률,고용,촉진,제시,맞춤형,정책,외연,확대,지름길"	"한국당,친박,대구경북,가능성,친박계,태극기,홍문종,신정치혁신특위,위원장,수권정당,정책대안,맞춤형,민주평화당,정치권"	자유한국당 ‘현역 의원 대거 물갈이론’의 파장이 예사롭지 않다. 친박계 중진인 홍문종 의원은 탈당까지 시사했다. 홍 의원은 지난 8일 서울 태극기 집회에서 한국당 탈당 의사를 밝힌 데 이어 11일엔 라디오 프로그램에서 황교안 대표와 당 신정치혁신특위를 향한 불만과 비난을 쏟아냈다. 홍 의원은 “한국당 공천을 받는다고 무슨 의미가 있겠느냐”며 탈당 후 태..		
01100201.20190612040332001	20190612	국민일보		"[사설] 靑, 한국당 해산 청원에 이렇게 답했다면 "	정치>국회_정당	 정치>행정_자치						靑	"민주당,청와대,자유한국당,해산,더불어민주당,국회,한국당"	"청원,한국당,해산,자유한국당,청구,더불어민주당,해산,주문,국민청원,청와대,답변,한국당,해산,183만,민주당,해산,33만,청원,참여,강기정,정무수석,청원,한데,정당해산,제도,유례,언급,법적,요건,설명,국회,모습,지적,청원,정당,의회정치,국민,평가,규정,정부,해산,청구,부작용,정당,평가,국민,매듭,내년,총선,투표,원론적,답변,청원,참여,216만,해산,목적,정당,행태,정치,의사,표현,청와대,답변,정치적,수석,제3자,관점,이야기,동물국회,식물국회,의회정치,실태,설명,관전자,국회,입법,정부,국정,운영,대통령,여야정,협의체,국회,정당,모양인,책임,청와대,정부,성찰,답변,국회,여야,협치,의석,분포,야당,국정,동반자,협치,추구,청원,한국당,해산,답변,한국당,국민,선택,지지,생각,존중,갈등,일방,책임,한국당,규정,청구,한국당,해산,정부,반대,한국당,정치세력,대화,파트너,청원인,지적,책임,협치,실천,여야정,경쟁,해산,청원,진영,다툼,정당,국민,평가,원론,답변,상대,진영,포용,정치,답변,성숙,대응,한국당,청와대,답변,선거법,위반,주장,수준,반응"	"한국당,청원,협치,청와대,진영,여야정,의회정치,더불어민주당,동물국회,제3자,정당해산,식물국회,청원인,강기정,선거법,정치세력,동반자,정무수석,국민청원,협의체,민주당,183만,관전자,216만,자유한국당,부작용,모양인,33만"	"자유한국당과 더불어민주당 해산 청구를 각각 주문한 국민청원에 청와대가 답변을 내놨다. 한국당 해산은 183만명, 민주당 해산은 33만명이 청원에 참여한 터였다. 강기정 정무수석은 두 청원을 한데 묶어 답했다. 정당해산 제도의 유례를 언급했고 법적 요건을 설명했다. 제 기능 못하는 국회의 모습을 지적하면서 이번 청원을 “정당과 의회정치에 대한 국민의 준엄.."	http://news.kmib.co.kr/article/view.asp?arcid=0924082918&code=11171111	
01500601.20190610063036001	20190610	매일신문	매일신문	"[사설] 한국당, 지역 공헌 없거나 무능 다선 의원 공천 배제해야"	정치>국회_정당							물갈이	"자유한국당,한국당,대구경북"	"한국당,지역,공헌,배제,무능,다선,의원,공천,자유한국당,공천,내년,총선,논란,대구경북,물갈이,타깃,가능성,지역,출신,쇄신,대상,친박,친박근혜,특정,희생양,반대,중요,의원들,제대로,공천,한국당,공천,주도,신상진,정치,혁신,특별,위원장,6일,물갈이,친박계,책임,언급,지역,의원들,불안,모양,의원들,위축,지역,정치력,하향식,가능성,제기,반발,항변,측면,중요,지역민,여론,지역민,한국당,지지,경향,의원들,혐오,손가락질,공천,배제,유형,지역,공헌도,지방의원,웰빙,의원,지방,의원,상대,갑질,의원,지방,선거,구설,의원,존재감,선수,의원,유형,지역,한국당,무능,집단,인식,주범,대상,과거,경험,처신,공천장,인사,한국당,입증,사람,사람,투명,정확,공천,혁신,변화,지역민,친박계,배제론,논쟁,한국당,친박,자유,사람,국가,지역,공천,기준,강조,한국당,제대로,물갈이,지역민,역풍"	"한국당,지역민,의원들,친박계,가능성,친박,제대로,신상진,친박근혜,웰빙,정치력,갑질,희생양,공천장,손가락질,위원장,배제론,대구경북,하향식,존재감,지방의원,공헌도,다선,자유한국당,공천,의원,지역,물갈이"	"자유한국당에서 내년 총선 공천을 둘러싼 논란이 뜨겁다. 대구경북이 물갈이 타깃이 될 것이라는 우려가 많고, 실제로 그럴 가능성이 높다. 지역 출신이라는 이유로 쇄신의 대상이 되거나 친박(친박근혜)계를 특정해 희생양으로 삼는 것은 결단코 반대한다. 그보다 훨씬 중요한 것은 문제 있는 의원들을 제대로 솎아내는 공천이 될 수 있느냐 하는 점이다. 
 
 한국.."	https://news.imaeil.com/Editorial/2019061018102212862	
01100101.20190610202458001	20190610	경향신문		"[사설]국회도, 민생도 외면하는 한국당 공당 책무 잊었나"	정치>국회_정당						"문희상,황,황교안"	"헝가리,서울,아프리카,남영동"	"입법부,자유한국당,국회,짝수월 임시국회 개회,한국당"	"국회,민생,외면,책무,한국당,공당,문희상,국회의장,여야,대표,정례,모임,황교안,자유한국당,대표,지난달,이달,일정상,불참,남영동,이날,서울,대공분실,6,항쟁,주년,기념식,대표,자리,불참,국회,표현,문재인,정부,자유,토론회,억압,실태,참석,국회,정상화,협의,민주화,전기,시민혁명,역사,의미,자당,의원,주최,토론회,참석,중요,모양,언론,야당,대통령,정부,여당,저주,조롱,비판,생각,표현,자유,토론회,자리,대표,대장정,지난달,민생,투쟁,대장정,마무리,행보,민생,투쟁,시즌2,시작,확장,중도층,외연,실패,여성,청년층,공략,대상,민생투쟁,오로지,정부,여당,비판,의미,대안,예산,뒷받침,얘기,대표,주말,정부,민생,정치,놀음,민생,민생,장정,민생,사람들,민생,대표,장외투쟁,민생,국회,국회법,규정,개회,짝수월,임시국회,공전,추가경정예산안,47일,심사,방치,민생안정,경제활력,법안,산적,헝가리,유람선,사고,대응,아프리카,돼지열병,차단,대북,식량지원,현안,가지,3월,임시국회,본회의,상태,입법부,부재,달째,안팎,하루,빨갱이,천렵질,막말,한국당,정부,정책,추경안,야당,국회,국회법,명시,회의,거부,바깥,민생,거론,위선,기만,제1야당,존재"	"민생투쟁,토론회,임시국회,한국당,시즌2,대장정,중도층,헝가리,서울,입법부,달째,기념식,짝수월,국회법,황교안,문재인,제1야당"	문희상 국회의장과 여야 대표는 매월 초 정례 모임을 갖는다. 10일 황교안 자유한국당 대표는 지난달에 이어 이달에도 일정상의 이유로 불참했다. 이날 서울 남영동 옛 대공분실에서는 6 10민주항쟁 제32주년 기념식이 열렸다. 황 대표는 이자리에도 불참했다. 대신 오전 10시 국회에서 열린 문재인 정부 ‘표현의 자유’ 억압 실태 토론회에 참석했다. 그에겐 ..	http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201906102022005&code=990101	
01100901.20190610000656001	20190610	중앙일보		[사설] 한국당에 “인적 혁신하라”는 이문열의 고언	정치>정치일반						"이문열,황,황교안"	경기	"이천시,자유한국당,국회,한국당 해체론,부악문원,한국당"	"한국당,혁신,이문열,고언,보수,혁신,거부,보수,착시,자유한국당,소설가,이문열,대표,8일,황교안,충고,함의,含意,대표,경기,이천시,이씨,사숙,私塾,부악문원,1시간,차담,1시간,차담,대표,대화,공개,이씨,면담,언론,유추,가능,이씨,언론,통화,시점,보수,세력,변혁,개혁,강조,예전,사람,가마솥,개구리,이씨,언론,통화,한국당,작업,기세,보수,얘기,이씨,대로,참패,6월,지방선거,한국당,해체,정도,사람,포함,여론,한국당,지방선거,이틀,6월,국회,로텐더,의원,전원,무릎,반성문,발언,행태,국민,마음,정부,경제,민생,실정,합리,대안,혁신,처절,반성,변화,노력,고백,환골탈태,다짐,이씨,여론,한국당,약속,환기,막말,논란,정책대안,부재,모습,1년,반성문,1년,반성문,한국당,인적,청산론,유야무야,이날,이씨,강조,정당,변혁,개혁,혁신,혁신,방식,능률적,제도,관습,문화,혁신,이씨,무게,혁신,인적,혁신,능사,대통령,탄핵,실각,한국당,자기반성,토대,변신,인적,혁신,혁신,무의미,한국당,이씨,고언,가감,유효"	"이씨,한국당,반성문,지방선거,이문열,含意,소설가,차담,황교안,무의미,정책대안,막말,환골탈태,유야무야,私塾,부악문원,자유한국당,로텐더,가마솥,청산론,처절,자기반성,이천시,혁신,보수,대표"	"보수도 ‘혁신’해야 한다. 이제 새로운 것이라면 거부하고, 낡은 것이라면 끌어안는 것이 보수라는 착시에서 자유한국당은 벗어나야 한다. 그게 원로 소설가 이문열씨가 지난 8일 황교안 대표에게 충고한 말의 함의(含意)라고 본다. 이날 황 대표는 경기 이천시에 있는 이씨의 사숙(私塾) 부악문원을 찾아가 1시간 동안 차담을 했다. 차담 후 황 대표는 자세한 대.."	https://news.joins.com/article/olink/23084595	
01100101.20190607204353001	20190607	경향신문		"[사설]황 대표 ‘경고’ 시험하는 듯, 또 나온 한국당 막말"	정치>행정_자치	 정치>청와대	 사회>사회일반				"차명진,문재인,전,차,황,약산,황교안,김원봉"		"한국청년전지공작대,자유한국당,국군,한·미동맹,지도부,조선의용대,페이스북,광복군,한국당,지지자"	"경고,대표,시험,한국당,막말,자유한국당,막말,차명진,한국당,의원,6일,페이스북,의원,문재인,빨갱이,문재인,대통령,현충일,추념사,약산,김원봉,언급,대통령,광복군,한국청년전지공작대,무정부,주의,세력,선생,약산,김원봉,조선의용대,편입,민족,독립운동역량,집결,팩트,추념사,맥락,좌우,이념,극복,애국,강조,일례,광복군,국군,뿌리,한,토대,대통령,추념사,불만,시민,선출,대통령,폭언,8차례,수정,문재인,빨갱이,추가,우발적,막말,세월,막말,여론,뭇매,정지,당원권,3개월,징계,엿새,징계,결정,자신,세월,괴담,피해자,주장,정치인들,막말,시민,다수,비판,지지자들,지도부,막말,장사,한국당,지지율,상승세,20%대,29.4%,리얼미터,추락,파문,막말,릴레이,주요인,황교안,대표,5일,용납,책임,경고,의원,빨갱이,막말,그다음,대표,리더십,징계,권위,의문,일벌백계,철퇴,막말,장사"	"막말,한국당,추념사,김원봉,광복군,약산,문재인,8차례,당원권,한국청년전지공작대,3개월,그다음,독립운동역량,독립운동,리얼미터,상승세,일벌백계,지지자들,피해자,조선의용대,무정부,뭇매,주요인,지지율,황교안,정치인들,지도부,페이스북"	자유한국당에서 또 막말이 터져 나왔다. 차명진 전 한국당 의원은 6일 페이스북에 “우선 입 달린 의원 한 명이라도 이렇게 외쳐야 한다. 문재인은 빨갱이!”라고 썼다. 문재인 대통령이 현충일 추념사에서 약산 김원봉을 언급했다는 이유 때문이다. 문 대통령은 “광복군에는 무정부주의 세력 한국청년전지공작대에 이어 약산 김원봉 선생이 이끌던 조선의용대가 편입되어..	http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201906072030005&code=990101	
01500801.20190604081406002	20190604	영남일보	뉴미디어부기자 ynnews@yeongnam.com	"[사설] 한국당의 막말과 몽니, 중도 등 돌리게 하는 자해다"	정치>국회_정당	 정치>행정_자치					"문재인,나경원,민경욱,황,황교안"	수정이	"민주당,청와대,자유한국당,더불어민주당,국회,한국당"	"한국당,막말,몽니,중도,자유한국당,장외투쟁,일변도,대여,강경,정국,주도,역풍,모양새,원내,나경원,원내대표,민경욱,대변인,가세,청와대,집권,여당,흠집,여념,와중,언사,막말,퍼레이드,여야,4당,공격,자초,황교안,대표,대통령,연일,문재인,실정,부각,공세,한국당,안팎,공조,호응,공세,공세,형국,호랑이,수비,좌충우돌,배제,닥공,패턴,일사불란,자랑,반대,반대,몽니,비판,국민,피로도,중도층,이반,초래,원외,강경,투쟁,일변도,수정이,정국,장기,파행,장기화,국회,공전,일차적,책임,더불어민주당,타협,여지,한국당,여야,합의,걸림돌,자해,부메랑,작용,한국당,협상,국회,정상화,패스트,트랙,안건,처리,이견,조정,민주당,합의,노력,입장,합의,처리,주장,고수,절충,실패,단초,제공,노력,단정적,처리,사이,간극,존재,결과,국회,지정,선거제,개혁입법,패스트트랙,한국당,무시,무산,여야,협상,여지,한국당,대안정당,이미지,구축,국회,정상화,적극,여야,4당,패스트트랙,대응,선거제,개혁입법,당론,개혁입법,급선무,합의,전제로,과거,정치,속셈,중도층,합리,보수,최악,사태,징조,여론조사,호재,와중,민주당,지지율,상승,기록,한국당,지지율,보합,하락세,사실,충분히,감지,황교안,대표,행보도,원외,정치,지지층,초점,중도,공략,확장,보수,외연,역주행,비판,한국당,의원들,막말,자살골,자해,행위,대표,정권,막말,프레임,두둔,본인,대표,상대,프레임,스스로,정치,성찰,시점"	"한국당,막말,개혁입법,패스트트랙,중도층,일변도,지지율,몽니,민주당,정상화,좌충우돌,피로도,문재인,선거제,황교안,4당"	자유한국당이 장외투쟁에 이은 대여 강경 일변도로 정국을 주도하면서 역풍을 맞는 모양새다. 원내는 나경원 원내대표를 비롯한 민경욱 대변인까지 가세해 청와대와 집권 여당의 흠집내기에 여념이 없는 와중에 부적절한 언사를 넘어선 막말 퍼레이드를 벌이며 여야 4당으로부터 공격을 자초하고 있다. 여기에 황교안 대표는 연일 문재인 대통령의 실정을 부각하며 공세의 도..		
07101201.20190604215209001	20190604	디지털타임스		"[사설] 한국당, 일단 국회 복귀해 민생법안 챙겨라"	정치>행정_자치	 정치>국회_정당							"여야 국회,민주당,고위공직자범죄수사처,청와대,야3당,자유한국당,더불어민주당,국회,한국당"	"한국당,국회,복귀,민생법안,여야,국회,정상화,협상,평행선,개회,6월,국회,오리무중,더불어민주당,자유한국당,제외,3일,단독,소집,발짝,민주당,한국당,패스트트랙,신속처리안건,이견,협상,이견,합의,한국당,민주당,청와대,합의정신,청와대,협상,개입,공격,공세,한국당,막말,청와대,여당,자극,모양새,국회,파행,원인,민주당,제공,3당,선거법,개정안,검경,수사,조정,고위,공직자,범죄,수사처,신설,패스트,트랙,법안,선거법,개정안,패스트,트랙,안건,상정,여야4당,수적,열세,한국당,표결,선거법,여야4당,확정,게임,주자,배제,한국당,저항,생존권,차원,자연,경제,하루,하강,국면,거대,야당,추경안,처리,민생법안,외면,한국당,패스트,트랙,상정,무효화,사과,요구,패스트트랙,포함,법안,처리,절차,문제점,정치,노선,선거,개편,독소조항,국민들,정당,주장,대립,상황,중간지대,야3당,중재,역할,상황,일방,독주,의회주의,한국당,국민,국회,복귀,민생법안,처리,협상,병행,성숙,모습"	"한국당,패스트트랙,민주당,청와대,선거법,민생법안,개정안,여야4당,야3당,자유한국당,독소조항,공직자,더불어민주당,생존권,문제점,중간지대,검경,국민들,수사처,오리무중,추경안,모양새,의회주의,3당,무효화,평행선,신속처리안건"	"여야 국회 정상화 협상이 평행선을 그으면서 6월 국회 개회도 오리무중이다. 더불어민주당이 자유한국당을 제외한 채 3일 단독 소집하겠다고 한 데서 한 발짝 물러났지만, 민주당과 한국당간 패스트트랙(신속처리안건)을 놓고는 팽팽한 이견을 보이고 있다. 협상을 계속 이어간다지만, 이견 폭이 워낙 커 합의하기가 쉽지만은 않아 보인다. 게다가 한국당은 ""(민주당이.."	http://www.dt.co.kr/contents.html?article_no=2019060402102369660002&ref=jeadan	
