일련번호	단어	감정범주	빈도	감정정도M	감정정도STD
1	가관이다	혐오	47.5	4.95	2.46
2	가련하다	슬픔	88.8	5.62	2.36
3	가뿐하다	기쁨	81.3	5.36	2.89
4	가소롭다	혐오	46.3	4.82	1.81
5	가슴아프다	슬픔	93.8	7.62	2.14
6	가슴앓이	슬픔	90	7.75	1.98
7	가엾다	슬픔	87.5	6.26	2.59
8	각박하다	슬픔	42.5	5.87	2.47
9	각성되다	중성	32.5	8.35	1.8
10	간절하다	슬픔	57.5	4.95	2.72
11	갈구하다	흥미	42.5	6.36	2.8
12	갈기갈기	분노	78.8	7.48	2.37
13	갈망하다	흥미	38.8	7.36	2.07
14	감개무량하다	기쁨	83.8	7.23	2.55
15	감격하다	기쁨	92.5	7.81	2.16
16	감동하다	기쁨	88.8	7.48	2.32
17	감미롭다	기쁨	77.5	6.03	2.63
18	감복하다	기쁨	61.3	6.64	2.65
19	감사하다	기쁨	97.5	7.24	2.26
20	감질나다	흥미	46.3	5.45	3.18
21	감회	기쁨	51.2	4.58	2.5
22	감흥	기쁨	61.3	5.83	2.59
23	갑갑하다	지루함	42.5	6.55	2.79
24	갑작스럽다	놀람	90	7.54	2.16
25	개새끼	분노	81.3	8.22	2.37
26	개쌍년	분노	85	9.04	1.34
27	개자식	분노	81.3	7.87	2.21
28	거북하다	혐오	61.3	6.31	2.51
29	걱정하다	슬픔	66.3	4.55	2.29
30	겁나다	공포	86.3	6.94	2.47
31	겁쟁이	공포	45	6.66	2.78
32	격노하다	분노	95	8.7	1.61
33	격분하다	분노	88.8	8.06	1.87
34	격앙되다	분노	70	6.82	2.15
35	격양되다	분노	55	6.71	2.35
36	격해지다	분노	83.8	7.07	2.41
37	겸연쩍다	기타	37.5	6.33	2.34
38	경박하다	혐오	62.5	5.57	2.4
39	경악하다	놀람	76.3	8.46	1.82
40	경이롭다	놀람	76.3	7.77	2.12
41	경쾌하다	기쁨	95	7.42	2.53
42	고달프다	슬픔	77.5	5.66	2.79
